analysis,region,climatezone,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models,climatezone_label,climate,human,importance_balance
h2_spd,North America,Polar,NA,balance,NA,NA,NA,1,POL,0.8628438589693918,0.1371561410306083,-0.7256877179387835
h2_spd,North America,Temperate - Dry Summer,NA,balance,NA,NA,NA,1,TDS,0.8851730589335829,0.1148269410664172,-0.7703461178671657
h2_spd,North America,Temperate,NA,balance,NA,NA,NA,1,TMP,0.7450239721051867,0.2549760278948133,-0.4900479442103734
h2_spd,Oceania,Temperate,NA,balance,NA,NA,NA,1,TMP,0.7774277496233393,0.22257225037666076,-0.5548554992466785
h2_spd,Oceania,Tropical,NA,balance,NA,NA,NA,1,TRO,0.9882616723819573,0.011738327618042733,-0.9765233447639146
h2_spd,Asia,Arid,climate,signed,0.545,0.559,0.9749552772808586,1,ARD,NA,NA,NA
h2_spd,Asia,Arid,human,signed,0.0142,0.559,0.025402504472271912,1,ARD,NA,NA,NA
h2_spd,Asia,Cold - Dry Summer,climate,signed,0.539,0.621,0.8679549114331724,1,CDS,NA,NA,NA
h2_spd,Asia,Cold - Dry Summer,human,signed,0.0816,0.621,0.13140096618357489,1,CDS,NA,NA,NA
h2_spd,Asia,Cold - Dry Winter,climate,signed,0.5007,0.727,0.6887207702888584,1,CDW,NA,NA,NA
h2_spd,Asia,Cold - Dry Winter,human,signed,0.2263,0.727,0.3112792297111417,1,CDW,NA,NA,NA
h2_spd,Asia,Cold - Cold Summer,climate,signed,0.3003,0.415,0.7236144578313254,1,CCS,NA,NA,NA
h2_spd,Asia,Cold - Cold Summer,human,signed,0.1143,0.415,0.27542168674698797,1,CCS,NA,NA,NA
h2_spd,Asia,Cold - Warm Summer,climate,signed,0.1009,0.202,0.4995049504950495,1,CWS,NA,NA,NA
h2_spd,Asia,Cold - Warm Summer,human,signed,0.1013,0.202,0.5014851485148515,1,CWS,NA,NA,NA
h2_spd,Asia,Polar,climate,signed,0.6357,0.744,0.8544354838709678,1,POL,NA,NA,NA
h2_spd,Asia,Polar,human,signed,0.1079,0.744,0.1450268817204301,1,POL,NA,NA,NA
h2_spd,Asia,Temperate - Dry Summer,climate,signed,0.5168,0.751,0.6881491344873503,1,TDS,NA,NA,NA
h2_spd,Asia,Temperate - Dry Summer,human,signed,0.2343,0.751,0.31198402130492675,1,TDS,NA,NA,NA
h2_spd,Asia,Temperate - Dry Winter,climate,signed,0.6602,0.797,0.8283563362609786,1,TDW,NA,NA,NA
h2_spd,Asia,Temperate - Dry Winter,human,signed,0.1364,0.797,0.17114178168130487,1,TDW,NA,NA,NA
h2_spd,Asia,Temperate,climate,signed,0.6615,0.665,0.994736842105263,1,TMP,NA,NA,NA
h2_spd,Asia,Temperate,human,signed,0.004,0.665,0.006015037593984962,1,TMP,NA,NA,NA
h2_spd,Europe,Arid,climate,signed,0.223,0.234,0.9529914529914529,1,ARD,NA,NA,NA
h2_spd,Europe,Arid,human,signed,0.011,0.234,0.047008547008547,1,ARD,NA,NA,NA
h2_spd,Europe,Cold - Cold Summer,climate,signed,0.464,0.636,0.729559748427673,1,CCS,NA,NA,NA
h2_spd,Europe,Cold - Cold Summer,human,signed,0.1718,0.636,0.270125786163522,1,CCS,NA,NA,NA
h2_spd,Europe,Cold - Warm Summer,climate,signed,0.6534,0.758,0.8620052770448549,1,CWS,NA,NA,NA
h2_spd,Europe,Cold - Warm Summer,human,signed,0.1047,0.758,0.13812664907651714,1,CWS,NA,NA,NA
h2_spd,Europe,Polar,climate,signed,0.7415,0.732,1.0129781420765027,1,POL,NA,NA,NA
h2_spd,Europe,Polar,human,signed,-0.0093,0.732,-0.012704918032786885,1,POL,NA,NA,NA
h2_spd,Europe,Temperate - Dry Summer,climate,signed,0.4499,0.613,0.733931484502447,1,TDS,NA,NA,NA
h2_spd,Europe,Temperate - Dry Summer,human,signed,0.1633,0.613,0.266394779771615,1,TDS,NA,NA,NA
h2_spd,Europe,Temperate,climate,signed,0.4441,0.544,0.816360294117647,1,TMP,NA,NA,NA
h2_spd,Europe,Temperate,human,signed,0.1001,0.544,0.18400735294117646,1,TMP,NA,NA,NA
h2_spd,Latin America,Arid,climate,signed,0.4494,0.517,0.8692456479690522,1,ARD,NA,NA,NA
h2_spd,Latin America,Arid,human,signed,0.0673,0.517,0.13017408123791102,1,ARD,NA,NA,NA
h2_spd,Latin America,Polar,climate,signed,0.5641,0.621,0.9083735909822868,1,POL,NA,NA,NA
h2_spd,Latin America,Polar,human,signed,0.0567,0.621,0.09130434782608696,1,POL,NA,NA,NA
h2_spd,Latin America,Temperate - Dry Summer,climate,signed,0.0719,0.032,2.246875,1,TDS,NA,NA,NA
h2_spd,Latin America,Temperate - Dry Summer,human,signed,-0.0399,0.032,-1.246875,1,TDS,NA,NA,NA
h2_spd,Latin America,Temperate - Dry Winter,climate,signed,0.4734,0.448,1.0566964285714284,1,TDW,NA,NA,NA
h2_spd,Latin America,Temperate - Dry Winter,human,signed,-0.0249,0.448,-0.05558035714285714,1,TDW,NA,NA,NA
h2_spd,Latin America,Temperate,climate,signed,0.4379,0.711,0.6158931082981717,1,TMP,NA,NA,NA
h2_spd,Latin America,Temperate,human,signed,0.2727,0.711,0.38354430379746834,1,TMP,NA,NA,NA
h2_spd,Latin America,Tropical,climate,signed,0.5087,0.6,0.8478333333333334,1,TRO,NA,NA,NA
h2_spd,Latin America,Tropical,human,signed,0.0914,0.6,0.15233333333333332,1,TRO,NA,NA,NA
h2_spd,North America,Arid,climate,signed,0.3824,0.391,0.978005115089514,1,ARD,NA,NA,NA
h2_spd,North America,Arid,human,signed,0.0082,0.391,0.020971867007672635,1,ARD,NA,NA,NA
h2_spd,North America,Cold - Dry Summer,climate,signed,0.7026,0.74,0.9494594594594594,1,CDS,NA,NA,NA
h2_spd,North America,Cold - Dry Summer,human,signed,0.0375,0.74,0.05067567567567567,1,CDS,NA,NA,NA
h2_spd,North America,Cold - Cold Summer,climate,signed,0.6256,0.948,0.6599156118143461,1,CCS,NA,NA,NA
h2_spd,North America,Cold - Cold Summer,human,signed,0.3227,0.948,0.34040084388185654,1,CCS,NA,NA,NA
h2_spd,North America,Cold - Hot Summer,climate,signed,0.4399,0.584,0.7532534246575343,1,CHS,NA,NA,NA
h2_spd,North America,Cold - Hot Summer,human,signed,0.1441,0.584,0.24674657534246577,1,CHS,NA,NA,NA
