analysis,region,age,n_models,n_available,n_accounting_valid,total_adjusted_r_squared_sum,total_adjusted_r_squared_mean,unique_human_sum,unique_human_mean,unique_climate_sum,unique_climate_mean,shared_sum,shared_mean,unexplained_sum,unexplained_mean,bounded_total_adjusted_r_squared_sum,bounded_total_adjusted_r_squared_mean,bounded_unique_human_sum,bounded_unique_human_mean,bounded_unique_climate_sum,bounded_unique_climate_mean,bounded_shared_sum,bounded_shared_mean,bounded_unexplained_sum,bounded_unexplained_mean
temporal_events,North America,8500,1,1,1,0.102,0.102,0.0022,0.0022,0.0977,0.0977,0.0016,0.0016,0.898,0.898,0.102,0.102,0.0022108374384236457,0.0022108374384236457,0.09818128078817734,0.09818128078817734,0.001607881773399015,0.001607881773399015,0.898,0.898
temporal_events,Oceania,500,1,1,1,0.068,0.068,-0.0219,-0.0219,0.0816,0.0816,0.0079,0.0079,0.9319999999999999,0.9319999999999999,0.068,0.068,0,0,0.061997765363128496,0.061997765363128496,0.006002234636871509,0.006002234636871509,0.9319999999999999,0.9319999999999999
temporal_events,Oceania,1000,1,1,1,0.119,0.119,0.0387,0.0387,0.0929,0.0929,-0.013,-0.013,0.881,0.881,0.119,0.119,0.03499468085106383,0.03499468085106383,0.08400531914893616,0.08400531914893616,0,0,0.881,0.881
temporal_events,Oceania,1500,1,1,1,0.067,0.067,-0.0092,-0.0092,0.0689,0.0689,0.0075,0.0075,0.933,0.933,0.067,0.067,0,0,0.060422774869109956,0.060422774869109956,0.006577225130890052,0.006577225130890052,0.933,0.933
temporal_events,Oceania,2000,1,1,1,0.031,0.031,0.0081,0.0081,0.0195,0.0195,0.0031,0.0031,0.969,0.969,0.031,0.031,0.00817915309446254,0.00817915309446254,0.01969055374592834,0.01969055374592834,0.0031302931596091203,0.0031302931596091203,0.969,0.969
temporal_events,Oceania,2500,1,1,1,0.086,0.086,0.0182,0.0182,0.0774,0.0774,-0.0099,-0.0099,0.914,0.914,0.086,0.086,0.016372384937238495,0.016372384937238495,0.06962761506276151,0.06962761506276151,0,0,0.914,0.914
temporal_events,Oceania,3000,1,1,1,0.126,0.126,0.0059,0.0059,0.1052,0.1052,0.0151,0.0151,0.874,0.874,0.126,0.126,0.005890649762282091,0.005890649762282091,0.10503328050713154,0.10503328050713154,0.01507606973058637,0.01507606973058637,0.874,0.874
temporal_events,Oceania,3500,1,1,1,0.102,0.102,-0.0194,-0.0194,0.1127,0.1127,0.0086,0.0086,0.898,0.898,0.102,0.102,0,0,0.09476834295136026,0.09476834295136026,0.007231657048639736,0.007231657048639736,0.898,0.898
temporal_events,Oceania,4000,1,1,1,0.064,0.064,-0.0186,-0.0186,0.07,0.07,0.0124,0.0124,0.9359999999999999,0.9359999999999999,0.064,0.064,0,0,0.05436893203883496,0.05436893203883496,0.009631067961165049,0.009631067961165049,0.9359999999999999,0.9359999999999999
temporal_events,Oceania,4500,1,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
temporal_events,Oceania,5000,1,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
temporal_events,Oceania,5500,1,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
temporal_events,Oceania,6000,1,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
temporal_events,Oceania,6500,1,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
temporal_events,Oceania,7000,1,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
temporal_events,Oceania,7500,1,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
temporal_events,Oceania,8000,1,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
temporal_events,Oceania,8500,1,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
temporal_spd,Asia,2000,1,1,1,0.098,0.098,0.0288,0.0288,0.0864,0.0864,-0.0172,-0.0172,0.902,0.902,0.098,0.098,0.0245,0.0245,0.07350000000000001,0.07350000000000001,0,0,0.902,0.902
temporal_spd,Asia,2500,1,1,1,0.094,0.094,0.0109,0.0109,0.0944,0.0944,-0.0108,-0.0108,0.906,0.906,0.094,0.094,0.009730294396961063,0.009730294396961063,0.08426970560303892,0.08426970560303892,0,0,0.906,0.906
temporal_spd,Asia,3000,1,1,1,0.092,0.092,0.0099,0.0099,0.0916,0.0916,-0.0098,-0.0098,0.908,0.908,0.092,0.092,0.008973399014778324,0.008973399014778324,0.08302660098522166,0.08302660098522166,0,0,0.908,0.908
temporal_spd,Asia,3500,1,1,1,0.09,0.09,-2e-4,-2e-4,0.0784,0.0784,0.0118,0.0118,0.91,0.91,0.09,0.09,0,0,0.07822616407982261,0.07822616407982261,0.011773835920177382,0.011773835920177382,0.91,0.91
temporal_spd,Asia,4000,1,1,1,0.076,0.076,0.0042,0.0042,0.0693,0.0693,0.0024,0.0024,0.924,0.924,0.076,0.076,0.0042055335968379445,0.0042055335968379445,0.06939130434782609,0.06939130434782609,0.0024031620553359684,0.0024031620553359684,0.924,0.924
temporal_spd,Asia,4500,1,1,1,0.087,0.087,0.0027,0.0027,0.0615,0.0615,0.0226,0.0226,0.913,0.913,0.087,0.087,0.0027062211981566824,0.0027062211981566824,0.06164170506912443,0.06164170506912443,0.022652073732718898,0.022652073732718898,0.913,0.913
temporal_spd,Asia,5000,1,1,1,0.087,0.087,0.0056,0.0056,0.0521,0.0521,0.0287,0.0287,0.913,0.913,0.087,0.087,0.005638888888888889,0.005638888888888889,0.05246180555555555,0.05246180555555555,0.028899305555555553,0.028899305555555553,0.913,0.913
temporal_spd,Asia,5500,1,1,1,0.092,0.092,-0.0017,-0.0017,0.0797,0.0797,0.0142,0.0142,0.908,0.908,0.092,0.092,0,0,0.07808732694355697,0.07808732694355697,0.013912673056443026,0.013912673056443026,0.908,0.908
temporal_spd,Asia,6000,1,1,1,0.107,0.107,0.0103,0.0103,0.0683,0.0683,0.0285,0.0285,0.893,0.893,0.107,0.107,0.010290382819794585,0.010290382819794585,0.06823622782446312,0.06823622782446312,0.0284733893557423,0.0284733893557423,0.893,0.893
temporal_spd,Asia,6500,1,1,1,0.106,0.106,-0.0024,-0.0024,0.0905,0.0905,0.0181,0.0181,0.894,0.894,0.106,0.106,0,0,0.08833333333333332,0.08833333333333332,0.017666666666666667,0.017666666666666667,0.894,0.894
temporal_spd,Asia,7000,1,1,1,0.122,0.122,0.0031,0.0031,0.0999,0.0999,0.0187,0.0187,0.878,0.878,0.122,0.122,0.003107641741988496,0.003107641741988496,0.10014626129827445,0.10014626129827445,0.01874609695973706,0.01874609695973706,0.878,0.878
temporal_spd,Asia,7500,1,1,1,0.145,0.145,0.0064,0.0064,0.1077,0.1077,0.0314,0.0314,0.855,0.855,0.145,0.145,0.006378006872852233,0.006378006872852233,0.10732989690721648,0.10732989690721648,0.03129209621993126,0.03129209621993126,0.855,0.855
temporal_spd,Asia,8000,1,1,1,0.158,0.158,-8e-4,-8e-4,0.1407,0.1407,0.0182,0.0182,0.842,0.842,0.158,0.158,0,0,0.13990308370044055,0.13990308370044055,0.018096916299559476,0.018096916299559476,0.842,0.842
temporal_spd,Asia,8500,1,1,1,0.162,0.162,-4e-4,-4e-4,0.152,0.152,0.0102,0.0102,0.838,0.838,0.162,0.162,0,0,0.1518125770653514,0.1518125770653514,0.010187422934648582,0.010187422934648582,0.838,0.838
temporal_spd,Europe,2000,1,1,1,0.101,0.101,0.0042,0.0042,0.0987,0.0987,-0.0022,-0.0022,0.899,0.899,0.101,0.101,0.004122448979591837,0.004122448979591837,0.09687755102040818,0.09687755102040818,0,0,0.899,0.899
temporal_spd,Europe,2500,1,1,1,0.085,0.085,0.0068,0.0068,0.0831,0.0831,-0.0048,-0.0048,0.915,0.915,0.085,0.085,0.006429365962180201,0.006429365962180201,0.0785706340378198,0.0785706340378198,0,0,0.915,0.915
temporal_spd,Europe,3000,1,1,1,0.062,0.062,1e-4,1e-4,0.0513,0.0513,0.0107,0.0107,0.938,0.938,0.062,0.062,9.98389694041868e-5,9.98389694041868e-5,0.051217391304347826,0.051217391304347826,0.010682769726247987,0.010682769726247987,0.938,0.938
temporal_spd,Europe,3500,1,1,1,0.065,0.065,0.002,0.002,0.0499,0.0499,0.0133,0.0133,0.935,0.935,0.065,0.065,0.0019938650306748464,0.0019938650306748464,0.04974693251533742,0.04974693251533742,0.013259202453987729,0.013259202453987729,0.935,0.935
