analysis,aggregation_level,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models,signed_allocation,delta_from_signed,model_id,region,climatezone,age
spatial_events,model,climate,signed,0.2435,0.33,0.7378787878787878,1,0.7378787878787878,0,analysis=spatial_events|dataset_id=15130|region=Latin America|climatezone=Temperate_Without_dry_season,NA,NA,NA
spatial_events,model,human,signed,0.0861,0.33,0.26090909090909087,1,0.26090909090909087,0,analysis=spatial_events|dataset_id=15130|region=Latin America|climatezone=Temperate_Without_dry_season,NA,NA,NA
spatial_events,model,climate,signed,-0.0026,0.019,-0.1368421052631579,1,-0.1368421052631579,0,analysis=spatial_events|dataset_id=15132|region=Latin America|climatezone=Temperate_Without_dry_season,NA,NA,NA
spatial_events,model,human,signed,0.0218,0.019,1.1473684210526316,1,1.1473684210526316,0,analysis=spatial_events|dataset_id=15132|region=Latin America|climatezone=Temperate_Without_dry_season,NA,NA,NA
spatial_events,model,climate,signed,0.3518,0.385,0.9137662337662338,1,0.9137662337662338,0,analysis=spatial_events|dataset_id=15247|region=Latin America|climatezone=Temperate_Dry_Winter,NA,NA,NA
spatial_events,model,human,signed,0.033,0.385,0.08571428571428572,1,0.08571428571428572,0,analysis=spatial_events|dataset_id=15247|region=Latin America|climatezone=Temperate_Dry_Winter,NA,NA,NA
spatial_events,model,climate,signed,0.4062,0.36,1.1283333333333334,1,1.1283333333333334,0,analysis=spatial_events|dataset_id=15306|region=Latin America|climatezone=Polar,NA,NA,NA
spatial_events,model,human,signed,-0.0458,0.36,-0.12722222222222224,1,-0.12722222222222224,0,analysis=spatial_events|dataset_id=15306|region=Latin America|climatezone=Polar,NA,NA,NA
spatial_events,model,climate,signed,-0.0605,0.126,-0.4801587301587301,1,-0.4801587301587301,0,analysis=spatial_events|dataset_id=15331|region=Latin America|climatezone=Polar,NA,NA,NA
spatial_events,model,human,signed,0.1863,0.126,1.4785714285714284,1,1.4785714285714284,0,analysis=spatial_events|dataset_id=15331|region=Latin America|climatezone=Polar,NA,NA,NA
spatial_events,model,climate,signed,0.5214,0.616,0.8464285714285714,1,0.8464285714285714,0,analysis=spatial_events|dataset_id=15394|region=Latin America|climatezone=Tropical,NA,NA,NA
spatial_events,model,human,signed,0.0942,0.616,0.15292207792207793,1,0.15292207792207793,0,analysis=spatial_events|dataset_id=15394|region=Latin America|climatezone=Tropical,NA,NA,NA
spatial_events,model,climate,signed,0.5175,0.692,0.7478323699421965,1,0.7478323699421965,0,analysis=spatial_events|dataset_id=15624|region=Asia|climatezone=Temperate_Without_dry_season,NA,NA,NA
spatial_events,model,human,signed,0.1748,0.692,0.2526011560693642,1,0.2526011560693642,0,analysis=spatial_events|dataset_id=15624|region=Asia|climatezone=Temperate_Without_dry_season,NA,NA,NA
spatial_events,model,climate,signed,0.3873,0.394,0.9829949238578679,1,0.9829949238578679,0,analysis=spatial_events|dataset_id=15656|region=Asia|climatezone=Temperate_Without_dry_season,NA,NA,NA
spatial_events,model,human,signed,0.0068,0.394,0.017258883248730962,1,0.017258883248730962,0,analysis=spatial_events|dataset_id=15656|region=Asia|climatezone=Temperate_Without_dry_season,NA,NA,NA
spatial_events,model,climate,signed,0.1914,0.282,0.6787234042553192,1,0.6787234042553192,0,analysis=spatial_events|dataset_id=15665|region=Asia|climatezone=Cold_Without_dry_season_Hot_Summer,NA,NA,NA
spatial_events,model,human,signed,0.0902,0.282,0.3198581560283688,1,0.3198581560283688,0,analysis=spatial_events|dataset_id=15665|region=Asia|climatezone=Cold_Without_dry_season_Hot_Summer,NA,NA,NA
spatial_events,model,climate,signed,0.2373,0.372,0.6379032258064516,1,0.6379032258064516,0,analysis=spatial_events|dataset_id=15682|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,NA,NA,NA
spatial_events,model,human,signed,0.1352,0.372,0.36344086021505373,1,0.36344086021505373,0,analysis=spatial_events|dataset_id=15682|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,NA,NA,NA
spatial_events,model,climate,signed,0.1215,0.225,0.5399999999999999,1,0.5399999999999999,0,analysis=spatial_events|dataset_id=15720|region=Asia|climatezone=Cold_Without_dry_season_Warm_Summer,NA,NA,NA
spatial_events,model,human,signed,0.1039,0.225,0.4617777777777778,1,0.4617777777777778,0,analysis=spatial_events|dataset_id=15720|region=Asia|climatezone=Cold_Without_dry_season_Warm_Summer,NA,NA,NA
spatial_events,model,climate,signed,0.0918,0.11,0.8345454545454546,1,0.8345454545454546,0,analysis=spatial_events|dataset_id=15766|region=North America|climatezone=Temperate_Dry_Summer,NA,NA,NA
spatial_events,model,human,signed,0.0178,0.11,0.1618181818181818,1,0.1618181818181818,0,analysis=spatial_events|dataset_id=15766|region=North America|climatezone=Temperate_Dry_Summer,NA,NA,NA
spatial_events,model,climate,signed,0.0424,0.384,0.11041666666666666,1,0.11041666666666666,0,analysis=spatial_events|dataset_id=16009|region=North America|climatezone=Temperate_Without_dry_season,NA,NA,NA
spatial_events,model,human,signed,0.3415,0.384,0.8893229166666667,1,0.8893229166666667,0,analysis=spatial_events|dataset_id=16009|region=North America|climatezone=Temperate_Without_dry_season,NA,NA,NA
spatial_events,model,climate,signed,0.5183,0.682,0.7599706744868034,1,0.7599706744868034,0,analysis=spatial_events|dataset_id=16193|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,NA,NA,NA
spatial_events,model,human,signed,0.1638,0.682,0.24017595307917888,1,0.24017595307917888,0,analysis=spatial_events|dataset_id=16193|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,NA,NA,NA
spatial_events,model,climate,signed,0.1184,0.459,0.2579520697167756,1,0.2579520697167756,0,analysis=spatial_events|dataset_id=16217|region=Europe|climatezone=Temperate_Without_dry_season,NA,NA,NA
spatial_events,model,human,signed,0.3407,0.459,0.7422657952069717,1,0.7422657952069717,0,analysis=spatial_events|dataset_id=16217|region=Europe|climatezone=Temperate_Without_dry_season,NA,NA,NA
spatial_events,model,climate,signed,0.6429,0.658,0.9770516717325228,1,0.9770516717325228,0,analysis=spatial_events|dataset_id=1661|region=North America|climatezone=Cold_Without_dry_season_Hot_Summer,NA,NA,NA
spatial_events,model,human,signed,0.0152,0.658,0.02310030395136778,1,0.02310030395136778,0,analysis=spatial_events|dataset_id=1661|region=North America|climatezone=Cold_Without_dry_season_Hot_Summer,NA,NA,NA
