analysis,region,climatezone,n_models,n_available,n_accounting_valid,total_adjusted_r_squared_sum,total_adjusted_r_squared_mean,unique_human_sum,unique_human_mean,unique_climate_sum,unique_climate_mean,shared_sum,shared_mean,unexplained_sum,unexplained_mean,bounded_total_adjusted_r_squared_sum,bounded_total_adjusted_r_squared_mean,bounded_unique_human_sum,bounded_unique_human_mean,bounded_unique_climate_sum,bounded_unique_climate_mean,bounded_shared_sum,bounded_shared_mean,bounded_unexplained_sum,bounded_unexplained_mean
spatial_events,Oceania,Arid,1,1,1,0.402,0.402,0.1608,0.1608,0.2629,0.2629,-0.0221,-0.0221,0.598,0.598,0.402,0.402,0.15256455038942648,0.15256455038942648,0.24943544961057354,0.24943544961057354,0,0,0.598,0.598
spatial_events,Oceania,Cold_Without_dry_season_Cold_Summer,1,1,1,0.216,0.216,0.1161,0.1161,0.0761,0.0761,0.0234,0.0234,0.784,0.784,0.216,0.216,0.11631539888682747,0.11631539888682747,0.07624118738404453,0.07624118738404453,0.023443413729128018,0.023443413729128018,0.784,0.784
spatial_events,Oceania,Cold_Without_dry_season_Warm_Summer,2,1,1,0.172,0.172,-0.0656,-0.0656,0.1734,0.1734,0.0643,0.0643,0.8280000000000001,0.8280000000000001,0.172,0.172,0,0,0.12547244425746737,0.12547244425746737,0.046527555742532596,0.046527555742532596,0.8280000000000001,0.8280000000000001
spatial_events,Oceania,Polar,2,1,1,0.4,0.4,-0.0055,-0.0055,0.3439,0.3439,0.0617,0.0617,0.6,0.6,0.4,0.4,0,0,0.3391518737672584,0.3391518737672584,0.06084812623274163,0.06084812623274163,0.6,0.6
spatial_events,Oceania,Temperate_Dry_Summer,1,1,1,0.29,0.29,0.1053,0.1053,0.0366,0.0366,0.148,0.148,0.71,0.71,0.29,0.29,0.10533632286995515,0.10533632286995515,0.03661262504311831,0.03661262504311831,0.1480510520869265,0.1480510520869265,0.71,0.71
spatial_events,Oceania,Temperate_Dry_Winter,1,1,1,0.254,0.254,0.0224,0.0224,0.2192,0.2192,0.0126,0.0126,0.746,0.746,0.254,0.254,0.022382376081825334,0.022382376081825334,0.21902753737214792,0.21902753737214792,0.012590086546026752,0.012590086546026752,0.746,0.746
spatial_events,Oceania,Temperate_Without_dry_season,32,14,14,7.364,0.526,1.684,0.12028571428571429,3.0589,0.21849285714285716,2.6208,0.1872,6.636,0.47400000000000003,7.364,0.526,1.6957943969778488,0.12112817121270349,3.108907930378357,0.22206485216988261,2.5592976726437944,0.18280697661741388,6.636,0.47400000000000003
spatial_events,Oceania,Tropical,8,2,2,1.117,0.5585,0.2618,0.1309,0.6975,0.34875,0.15810000000000002,0.07905000000000001,0.883,0.4415,1.117,0.5585,0.28776460972619533,0.14388230486309767,0.6770944236086913,0.33854721180434566,0.1521409666651133,0.07607048333255664,0.883,0.4415
spatial_spd,Asia,Arid,32,21,21,5.844,0.2782857142857143,0.9274,0.04416190476190476,4.3745,0.2083095238095238,0.5413,0.025776190476190473,15.156,0.7217142857142858,5.998,0.2856190476190476,0.9218028217082521,0.043895372462297716,4.021370432578544,0.19149383012278778,1.0548267457132043,0.05022984503396211,15.002,0.7143809523809523
spatial_spd,Asia,Cold_Dry_Summer,8,4,4,1.369,0.34225,-0.048100000000000004,-0.012025000000000001,1.4946,0.37365,-0.07730000000000001,-0.019325000000000002,2.6310000000000002,0.6577500000000001,1.369,0.34225,0.007787502317819396,0.001946875579454849,1.3381246270622347,0.33453115676555867,0.023087870619946087,0.005771967654986522,2.6310000000000002,0.6577500000000001
