analysis,region,age,status,n_selected,human_climate_human,human_climate_climate,human_climate_space_human,human_climate_space_climate,human_climate_only_balance,controlled_human,controlled_climate,controlled_balance,human_climate_only_ranking,controlled_ranking,ranking_changed
temporal_events,Asia,3500,no_spatial_terms_selected,0,0.0151,0.0837,NA,NA,-0.0686,0.0151,0.0837,-0.0686,climate,climate,FALSE
temporal_events,Asia,4000,no_spatial_terms_selected,0,0.0107,0.0684,NA,NA,-0.0577,0.0107,0.0684,-0.0577,climate,climate,FALSE
temporal_events,Asia,4500,spatial_model_estimated,1,0.0178,0.0788,0.0201,0.0809,-0.061,0.0201,0.0809,-0.0608,climate,climate,FALSE
temporal_events,Asia,5000,spatial_model_estimated,1,0.0219,0.0758,0.0241,0.0755,-0.053900000000000003,0.0241,0.0755,-0.0514,climate,climate,FALSE
temporal_events,Asia,5500,spatial_model_estimated,1,0.0128,0.0914,0.0141,0.0914,-0.07859999999999999,0.0141,0.0914,-0.0773,climate,climate,FALSE
temporal_events,Asia,6000,spatial_model_estimated,1,0.0071,0.0956,0.0083,0.0965,-0.08850000000000001,0.0083,0.0965,-0.0882,climate,climate,FALSE
temporal_events,Asia,6500,no_spatial_terms_selected,0,0.0016,0.1073,NA,NA,-0.1057,0.0016,0.1073,-0.1057,climate,climate,FALSE
temporal_events,Asia,7000,no_spatial_terms_selected,0,0.0019,0.1176,NA,NA,-0.1157,0.0019,0.1176,-0.1157,climate,climate,FALSE
temporal_events,Asia,7500,no_spatial_terms_selected,0,0.008,0.1367,NA,NA,-0.12869999999999998,0.008,0.1367,-0.12869999999999998,climate,climate,FALSE
temporal_events,Asia,8000,spatial_model_estimated,1,0.0059,0.1571,0.0073,0.154,-0.1512,0.0073,0.154,-0.1467,climate,climate,FALSE
temporal_events,Asia,8500,spatial_model_estimated,1,0.0114,0.1562,0.0121,0.1589,-0.1448,0.0121,0.1589,-0.1468,climate,climate,FALSE
temporal_events,Oceania,6500,missing_predictor_group,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
temporal_events,Oceania,8000,missing_predictor_group,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
temporal_events,Oceania,8500,missing_predictor_group,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
temporal_events,Asia,1000,spatial_model_estimated,1,0.0512,0.043,0.0481,0.0423,0.008200000000000006,0.0481,0.0423,0.0058,human,human,FALSE
temporal_events,Asia,500,no_spatial_terms_selected,0,0.0646,0.0718,NA,NA,-0.007199999999999998,0.0646,0.0718,-0.007199999999999998,climate,climate,FALSE
