analysis,region,age,value,distance_km,n_records,n_connected,n_edges,moran_i,expected_i,p_greater,positive_autocorrelation,permutations,status,spatial_scope
temporal_spd,Europe,6500,residual_axis_2,411.41119655714897,380,380,8519,0.05923144068139501,-0.002638522427440633,0.001,TRUE,999,estimated,dbmem_connectivity
temporal_spd,Europe,6500,residual_axis_3,411.41119655714897,380,380,8519,0.005355202820189143,-0.002638522427440633,0.168,FALSE,999,estimated,dbmem_connectivity
temporal_spd,Europe,7000,residual_axis_1,250,388,383,4666,0.036763129070609676,-0.002583979328165375,0.008,TRUE,999,estimated,fixed_250km
temporal_spd,Europe,7000,residual_axis_2,250,388,383,4666,0.10691771788775614,-0.002583979328165375,0.001,TRUE,999,estimated,fixed_250km
temporal_spd,Europe,7000,residual_axis_3,250,388,383,4666,0.018882761266882483,-0.002583979328165375,0.068,FALSE,999,estimated,fixed_250km
temporal_spd,Europe,7000,residual_axis_1,500,388,388,11242,0.023236300718516956,-0.002583979328165375,0.005,TRUE,999,estimated,fixed_500km
temporal_spd,Europe,7000,residual_axis_2,500,388,388,11242,0.0587128786712889,-0.002583979328165375,0.001,TRUE,999,estimated,fixed_500km
temporal_spd,Europe,7000,residual_axis_3,500,388,388,11242,0.010266681839196197,-0.002583979328165375,0.061,FALSE,999,estimated,fixed_500km
temporal_spd,Europe,7000,residual_axis_1,411.41119655714897,388,388,8862,0.032374756173239344,-0.002583979328165375,0.004,TRUE,999,estimated,dbmem_connectivity
temporal_spd,Europe,7000,residual_axis_2,411.41119655714897,388,388,8862,0.08426346822250667,-0.002583979328165375,0.001,TRUE,999,estimated,dbmem_connectivity
temporal_spd,Europe,7000,residual_axis_3,411.41119655714897,388,388,8862,0.007522040919999052,-0.002583979328165375,0.137,FALSE,999,estimated,dbmem_connectivity
temporal_spd,Europe,7500,residual_axis_1,250,383,377,4622,0.002189815428983785,-0.002617801047120419,0.329,FALSE,999,estimated,fixed_250km
temporal_spd,Europe,7500,residual_axis_2,250,383,377,4622,0.05897467323796885,-0.002617801047120419,0.004,TRUE,999,estimated,fixed_250km
temporal_spd,Europe,7500,residual_axis_3,250,383,377,4622,0.035307897461743364,-0.002617801047120419,0.013,TRUE,999,estimated,fixed_250km
temporal_spd,Europe,7500,residual_axis_1,500,383,383,11044,3.755067171677594e-5,-0.002617801047120419,0.318,FALSE,999,estimated,fixed_500km
temporal_spd,Europe,7500,residual_axis_2,500,383,383,11044,0.01985286162093486,-0.002617801047120419,0.015,TRUE,999,estimated,fixed_500km
temporal_spd,Europe,7500,residual_axis_3,500,383,383,11044,0.011699894227120406,-0.002617801047120419,0.051,FALSE,999,estimated,fixed_500km
temporal_spd,Europe,7500,residual_axis_1,411.41119655714897,383,383,8713,0.0017630322734454658,-0.002617801047120419,0.263,FALSE,999,estimated,dbmem_connectivity
temporal_spd,Europe,7500,residual_axis_2,411.41119655714897,383,383,8713,0.035188789020293015,-0.002617801047120419,0.004,TRUE,999,estimated,dbmem_connectivity
temporal_spd,Europe,7500,residual_axis_3,411.41119655714897,383,383,8713,0.013017609336664371,-0.002617801047120419,0.055,FALSE,999,estimated,dbmem_connectivity
temporal_spd,Europe,8000,residual_axis_1,250,376,371,4669,0.02586153245848709,-0.0026666666666666666,0.03,TRUE,999,estimated,fixed_250km
temporal_spd,Europe,8000,residual_axis_2,250,376,371,4669,0.019348047573301178,-0.0026666666666666666,0.061,FALSE,999,estimated,fixed_250km
temporal_spd,Europe,8000,residual_axis_3,250,376,371,4669,-0.005996417823733314,-0.0026666666666666666,0.533,FALSE,999,estimated,fixed_250km
temporal_spd,Europe,8000,residual_axis_1,500,376,376,10824,0.010431356603088549,-0.0026666666666666666,0.068,FALSE,999,estimated,fixed_500km
temporal_spd,Europe,8000,residual_axis_2,500,376,376,10824,0.0051642524495946925,-0.0026666666666666666,0.146,FALSE,999,estimated,fixed_500km
temporal_spd,Europe,8000,residual_axis_3,500,376,376,10824,-0.00640269971455287,-0.0026666666666666666,0.643,FALSE,999,estimated,fixed_500km
temporal_spd,Europe,8000,residual_axis_1,411.41119655714897,376,376,8607,0.03000567123470826,-0.0026666666666666666,0.007,TRUE,999,estimated,dbmem_connectivity
temporal_spd,Europe,8000,residual_axis_2,411.41119655714897,376,376,8607,0.015893516228893793,-0.0026666666666666666,0.037,TRUE,999,estimated,dbmem_connectivity
temporal_spd,Europe,8000,residual_axis_3,411.41119655714897,376,376,8607,-0.011421046494486418,-0.0026666666666666666,0.859,FALSE,999,estimated,dbmem_connectivity
temporal_spd,Europe,8500,residual_axis_1,250,359,354,4314,-0.018598728629529205,-0.002793296089385475,0.902,FALSE,999,estimated,fixed_250km
temporal_spd,Europe,8500,residual_axis_2,250,359,354,4314,0.039250563281642746,-0.002793296089385475,0.012,TRUE,999,estimated,fixed_250km
temporal_spd,Europe,8500,residual_axis_3,250,359,354,4314,-0.01352603098474891,-0.002793296089385475,0.759,FALSE,999,estimated,fixed_250km
temporal_spd,Europe,8500,residual_axis_1,500,359,359,9971,0.005390971653597931,-0.002793296089385475,0.144,FALSE,999,estimated,fixed_500km
temporal_spd,Europe,8500,residual_axis_2,500,359,359,9971,0.026200322922555072,-0.002793296089385475,0.003,TRUE,999,estimated,fixed_500km
temporal_spd,Europe,8500,residual_axis_3,500,359,359,9971,-0.008384036369550664,-0.002793296089385475,0.736,FALSE,999,estimated,fixed_500km
temporal_spd,Europe,8500,residual_axis_1,411.41119655714897,359,359,7930,0.003938516393854732,-0.002793296089385475,0.199,FALSE,999,estimated,dbmem_connectivity
temporal_spd,Europe,8500,residual_axis_2,411.41119655714897,359,359,7930,0.04008062600385102,-0.002793296089385475,0.002,TRUE,999,estimated,dbmem_connectivity
temporal_spd,Europe,8500,residual_axis_3,411.41119655714897,359,359,7930,-0.011734112189937465,-0.002793296089385475,0.836,FALSE,999,estimated,dbmem_connectivity
temporal_spd,North America,2000,residual_axis_1,250,540,520,3429,0.24633868402719128,-0.0018552875695732839,0.001,TRUE,999,estimated,fixed_250km
temporal_spd,North America,2000,residual_axis_2,250,540,520,3429,0.12352861795432243,-0.0018552875695732839,0.001,TRUE,999,estimated,fixed_250km
temporal_spd,North America,2000,residual_axis_3,250,540,520,3429,0.006548950881156221,-0.0018552875695732839,0.273,FALSE,999,estimated,fixed_250km
temporal_spd,North America,2000,residual_axis_1,500,540,538,9934,0.10701239341695679,-0.0018552875695732839,0.001,TRUE,999,estimated,fixed_500km
temporal_spd,North America,2000,residual_axis_2,500,540,538,9934,0.043275894442024135,-0.0018552875695732839,0.001,TRUE,999,estimated,fixed_500km
temporal_spd,North America,2000,residual_axis_3,500,540,538,9934,0.0018219656357359396,-0.0018552875695732839,0.304,FALSE,999,estimated,fixed_500km
temporal_spd,North America,2000,residual_axis_1,1102.3683550552284,540,540,29637,-0.025940229193505405,-0.0018552875695732839,1,FALSE,999,estimated,dbmem_connectivity
temporal_spd,North America,2000,residual_axis_2,1102.3683550552284,540,540,29637,-0.004174557595260045,-0.0018552875695732839,0.641,FALSE,999,estimated,dbmem_connectivity
temporal_spd,North America,2000,residual_axis_3,1102.3683550552284,540,540,29637,-0.00831127711886468,-0.0018552875695732839,0.941,FALSE,999,estimated,dbmem_connectivity
temporal_spd,North America,2500,residual_axis_1,250,534,514,3377,0.2608720929553955,-0.001876172607879925,0.001,TRUE,999,estimated,fixed_250km
temporal_spd,North America,2500,residual_axis_2,250,534,514,3377,0.09503905992515625,-0.001876172607879925,0.001,TRUE,999,estimated,fixed_250km
temporal_spd,North America,2500,residual_axis_3,250,534,514,3377,0.009890370450179787,-0.001876172607879925,0.226,FALSE,999,estimated,fixed_250km
temporal_spd,North America,2500,residual_axis_1,500,534,532,9777,0.09689082244119526,-0.001876172607879925,0.001,TRUE,999,estimated,fixed_500km
temporal_spd,North America,2500,residual_axis_2,500,534,532,9777,0.03730614209050558,-0.001876172607879925,0.002,TRUE,999,estimated,fixed_500km
temporal_spd,North America,2500,residual_axis_3,500,534,532,9777,-0.0031746670722586482,-0.001876172607879925,0.509,FALSE,999,estimated,fixed_500km
temporal_spd,North America,2500,residual_axis_1,1102.3683550552284,534,534,29229,-0.021581018285048305,-0.001876172607879925,1,FALSE,999,estimated,dbmem_connectivity
