region,age,fraction,adjusted_r_squared
Asia,4500,pure_human,0.0032187137712230696
Asia,4500,pure_climate,0.058769939810307315
Asia,4500,pure_space,0.04020033897959674
Asia,4500,shared,0.022426415258663734
Asia,4500,total_explained,0.12461540781979086
Asia,4500,unexplained,0.8753845921802091
Asia,5000,pure_human,0.012855450405264146
Asia,5000,pure_climate,0.05238111814195079
Asia,5000,pure_space,0.02556105780301743
Asia,5000,shared,0.021182256513295306
Asia,5000,total_explained,0.11197988286352767
Asia,5000,unexplained,0.8880201171364723
Asia,5500,pure_human,-0.0012235032437791782
Asia,5500,pure_climate,0.08376472306395333
Asia,5500,pure_space,0.041021263522991624
Asia,5500,shared,0.010462668468636416
Asia,5500,total_explained,0.1340251518118022
Asia,5500,unexplained,0.8659748481881978
Asia,6000,pure_human,0.022135194331996844
Asia,6000,pure_climate,0.0757343954896712
Asia,6000,pure_space,0.026146205569973047
Asia,6000,shared,0.008091818494541325
Asia,6000,total_explained,0.13210761388618242
Asia,6000,unexplained,0.8678923861138176
Asia,6500,pure_human,-0.002802713970669335
Asia,6500,pure_climate,0.09009798338309882
Asia,6500,pure_space,0.008872976720755044
Asia,6500,shared,0.019052966959439033
Asia,6500,total_explained,0.11522121309262356
Asia,6500,unexplained,0.8847787869073764
Asia,7000,pure_human,0.0076338426042488194
Asia,7000,pure_climate,0.09581871928709718
Asia,7000,pure_space,0
Asia,7000,shared,0.029410616540475276
Asia,7000,total_explained,0.13286317843182127
Asia,7000,unexplained,0.8671368215681787
Asia,7500,pure_human,0.005552281230348899
Asia,7500,pure_climate,0.09841695616049206
Asia,7500,pure_space,0.03667282994104892
Asia,7500,shared,0.028811769816107335
Asia,7500,total_explained,0.16945383714799722
Asia,7500,unexplained,0.8305461628520028
Asia,8000,pure_human,0.0011822769479887807
Asia,8000,pure_climate,0.13698079725927403
Asia,8000,pure_space,0.03699718799395746
Asia,8000,shared,0.021774276598663822
Asia,8000,total_explained,0.1969345387998841
Asia,8000,unexplained,0.8030654612001159
Asia,8500,pure_human,-0.003364605450908331
Asia,8500,pure_climate,0.17298555727050025
Asia,8500,pure_space,0.02908234025202272
Asia,8500,shared,-0.00287299870299329
Asia,8500,total_explained,0.19583029336862134
Asia,8500,unexplained,0.8041697066313787
Oceania,6500,pure_human,-0.014284128788675687
Oceania,6500,pure_climate,0.0847416137721142
Oceania,6500,pure_space,0
Oceania,6500,shared,0.003720876068200374
Oceania,6500,total_explained,0.07417836105163889
Oceania,6500,unexplained,0.9258216389483611
Oceania,8000,pure_human,6.039543764594368e-4
Oceania,8000,pure_climate,0.08679446892203146
Oceania,8000,pure_space,0
Oceania,8000,shared,-0.004258079801111703
Oceania,8000,total_explained,0.0831403434973792
Oceania,8000,unexplained,0.9168596565026208
Oceania,8500,pure_human,-0.0039055413740334277
Oceania,8500,pure_climate,0.05639856209378313
Oceania,8500,pure_space,0.050399284728507854
Oceania,8500,shared,0.08833076600334311
Oceania,8500,total_explained,0.19122307145160067
Oceania,8500,unexplained,0.8087769285483993
