dataset_id,n_input_rows,n_unique_ages,n_collapsed_rows,had_repeated_ages
45381,14,14,0,FALSE
24303,13,13,0,FALSE
228,14,14,0,FALSE
32,14,14,0,FALSE
1002,14,14,0,FALSE
2953,14,14,0,FALSE
1648,14,14,0,FALSE
15776,13,13,0,FALSE
2593,13,13,0,FALSE
45716,14,14,0,FALSE
15394,18,12,6,TRUE
1766,14,14,0,FALSE
22851,12,12,0,FALSE
48925,13,13,0,FALSE
17368,14,14,0,FALSE
4120,14,14,0,FALSE
18123,12,12,0,FALSE
43295,14,14,0,FALSE
15259,14,14,0,FALSE
15682,13,13,0,FALSE
24461,12,12,0,FALSE
19995,14,14,0,FALSE
48782,14,14,0,FALSE
1970,13,13,0,FALSE
41835,14,14,0,FALSE
2328,11,11,0,FALSE
4436,13,13,0,FALSE
16073,14,14,0,FALSE
16236,12,12,0,FALSE
2880,14,14,0,FALSE
513,13,13,0,FALSE
48973,9,9,0,FALSE
1856,17,14,3,TRUE
40844,14,14,0,FALSE
4308,13,13,0,FALSE
42668,14,14,0,FALSE
1001,14,14,0,FALSE
369,17,14,3,TRUE
21838,17,14,3,TRUE
506,14,14,0,FALSE
1733,14,14,0,FALSE
19967,13,13,0,FALSE
PVT_Dabsan_Lake,14,14,0,FALSE
PVT_Daihai_Lake_2004,14,14,0,FALSE
PVT_Dalianhai_Lake,14,14,0,FALSE
PVT_Gonghai_Lake,14,14,0,FALSE
PVT_Hoton_Nur_2,14,14,0,FALSE
PVT_Manas_Lake_LM1,15,14,1,TRUE
PVT_Qidong,14,14,0,FALSE
PVT_Qinghai_Lake_QH2000,12,12,0,FALSE
PVT_Selin_Co_CK8803,14,14,0,FALSE
PVT_Sihailongwan_Lake,14,14,0,FALSE
PVT_Sumxi_Lake,14,14,0,FALSE
PVT_Ulan_Ul_Lake,13,13,0,FALSE
PVT_Ximen_Co,13,13,0,FALSE
PVT_Xingyun_Lake,12,12,0,FALSE
PVT_Yanghu_Lake,17,14,3,TRUE
Western_Ghats1,10,10,0,FALSE
PANGAEA.834960,9,9,0,FALSE
PVT_Akkol_Lake,14,14,0,FALSE
PVT_Ayongwama_Co,14,14,0,FALSE
PVT_Baikal_lake,14,14,0,FALSE
PVT_Barkol_Lake,14,14,0,FALSE
PVT_Chaiwopu_Lake,14,14,0,FALSE
PVT_Dahaizi_Lake,14,14,0,FALSE
PVT_Dajiuhu_2013,13,13,0,FALSE
PVT_Dali_Nur_Jiangjunpaozi_Lake,14,14,0,FALSE
PVT_Dali_Nur_Liuzhouwan_Lake,20,14,6,TRUE
PVT_Daluoba_basin,14,14,0,FALSE
PVT_Dongganchi,14,14,0,FALSE
PVT_Erhai_Lake,13,13,0,FALSE
PVT_Erhailongwan_Lake,14,14,0,FALSE
PVT_Ganhai_Lake,14,14,0,FALSE
PVT_Gantang,14,14,0,FALSE
PVT_Guangfulin,14,14,0,FALSE
PVT_Huguangyan_Maer_LakeB,14,13,1,TRUE
PVT_Hulun_Lake_HL06,17,14,3,TRUE
PVT_Kendegelukol_Lake,20,14,6,TRUE
PVT_Kotokel,8,8,0,FALSE
PVT_Koucha_Lake,14,14,0,FALSE
PVT_Kuhai_Lake,14,14,0,FALSE
PVT_Longquan_Lake_LC2,17,14,3,TRUE
PVT_Lop_Nur_Luo4,14,14,0,FALSE
PVT_Luanhaizi_LH2,10,10,0,FALSE
PVT_Mengcun,13,13,0,FALSE
PVT_Naleng_Co,14,14,0,FALSE
PVT_Nantun,14,14,0,FALSE
PVT_Qigai_Nuur,13,13,0,FALSE
PVT_Qongjiamong_Co,14,14,0,FALSE
PVT_Ren_Co_R1,14,14,0,FALSE
PVT_Sanjiaocheng_Section,14,14,0,FALSE
PVT_Sayram_Lake,14,14,0,FALSE
PVT_Shaamar,13,13,0,FALSE
PVT_Shayema_Lake,13,13,0,FALSE
PVT_Sujiawan,14,14,0,FALSE
PVT_Tiancai_Lake,13,13,0,FALSE
PVT_Uzunkol_Lake,14,14,0,FALSE
PVT_Wulungu_Lake,11,11,0,FALSE
