analysis,aggregation_level,n_models,n_eligible,n_excluded,n_missing_result,n_missing_predictor,n_non_finite_total,n_non_positive_total,n_non_finite_individual,n_negative_unique,n_negative_individual,region,climatezone,age
temporal_events,region_age,1,0,1,1,0,0,0,0,0,0,Oceania,NA,8000
temporal_events,region_age,1,0,1,1,0,0,0,0,0,0,Oceania,NA,8500
temporal_spd,region_age,1,1,0,0,0,0,0,0,1,1,Asia,NA,500
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Asia,NA,1000
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Asia,NA,1500
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Asia,NA,2000
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Asia,NA,2500
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Asia,NA,3000
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Asia,NA,3500
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Asia,NA,4000
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Asia,NA,4500
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Asia,NA,5000
temporal_spd,region_age,1,1,0,0,0,0,0,0,1,0,Asia,NA,5500
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Asia,NA,6000
temporal_spd,region_age,1,1,0,0,0,0,0,0,1,0,Asia,NA,6500
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Asia,NA,7000
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Asia,NA,7500
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Asia,NA,8000
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Asia,NA,8500
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Europe,NA,500
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Europe,NA,1000
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Europe,NA,1500
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Europe,NA,2000
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Europe,NA,2500
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Europe,NA,3000
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Europe,NA,3500
temporal_spd,region_age,1,1,0,0,0,0,0,0,1,0,Europe,NA,4000
temporal_spd,region_age,1,1,0,0,0,0,0,0,1,0,Europe,NA,4500
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Europe,NA,5000
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Europe,NA,5500
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Europe,NA,6000
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Europe,NA,6500
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Europe,NA,7000
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Europe,NA,7500
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Europe,NA,8000
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Europe,NA,8500
temporal_spd,region_age,1,1,0,0,0,0,0,0,1,1,Latin America,NA,500
temporal_spd,region_age,1,1,0,0,0,0,0,0,1,1,Latin America,NA,1000
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Latin America,NA,1500
temporal_spd,region_age,1,1,0,0,0,0,0,0,1,0,Latin America,NA,2000
temporal_spd,region_age,1,1,0,0,0,0,0,0,1,0,Latin America,NA,2500
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Latin America,NA,3000
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Latin America,NA,3500
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Latin America,NA,4000
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Latin America,NA,4500
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Latin America,NA,5000
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Latin America,NA,5500
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Latin America,NA,6000
temporal_spd,region_age,1,1,0,0,0,0,0,0,1,1,Latin America,NA,6500
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Latin America,NA,7000
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Latin America,NA,7500
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Latin America,NA,8000
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,Latin America,NA,8500
temporal_spd,region_age,1,1,0,0,0,0,0,0,0,0,North America,NA,500
