analysis,dataset_id,region,climatezone,model_id,predictor,varpart_unique,unique,average_share,individual,individual_percent,predictor_present,shared,varpart_total,total_adjusted_r_squared,model_result_available,varpart_available,has_required_predictors,has_finite_total,has_positive_total,has_finite_individual,has_finite_varpart,has_negative_unique,has_negative_individual,is_importance_eligible,exclusion_reason,zero_truncated_individual,zero_truncated_total,zero_truncated_allocation,signed_allocation,climatezone_label
spatial_spd,22988,Europe,Polar,analysis=spatial_spd|dataset_id=22988|region=Europe|climatezone=Polar,human,-0.0136,-0.0136,0.0352,0.0216,6.19,TRUE,0.0705,0.3493,0.349,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,0.0216,0.3493,0.06183796163756084,0.06189111747851003,POL
spatial_spd,46803,North America,Cold - Cold Summer,analysis=spatial_spd|dataset_id=46803|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,human,0.0616,0.0616,0.13169999999999998,0.1933,36.47,TRUE,0.2634,0.5301,0.53,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.1933,0.5301,0.36464817958875684,0.36471698113207546,CCS
spatial_spd,24195,Europe,Cold - Cold Summer,analysis=spatial_spd|dataset_id=24195|region=Europe|climatezone=Cold_Without_dry_season_Cold_Summer,human,-0.0149,-0.0149,-0.004299999999999998,-0.0192,-5.96,TRUE,-0.0086,0.322,0.322,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,0,0.3412,0,-0.059627329192546576,CCS
spatial_spd,306,North America,Cold - Cold Summer,analysis=spatial_spd|dataset_id=306|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,human,0.0151,0.0151,-0.007500000000000001,0.0076,1.19,TRUE,-0.0151,0.6381,0.638,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.0076,0.6381,0.011910358877918822,0.011912225705329153,CCS
spatial_spd,847,North America,Cold - Hot Summer,analysis=spatial_spd|dataset_id=847|region=North America|climatezone=Cold_Without_dry_season_Hot_Summer,human,0.033,0.033,0.0187,0.0517,84.75,TRUE,0.0373,0.0613,0.061,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,0.0517,0.0614,0.8420195439739414,0.8475409836065575,CHS
spatial_spd,45322,Europe,Temperate - Dry Summer,analysis=spatial_spd|dataset_id=45322|region=Europe|climatezone=Temperate_Dry_Summer,human,-0.036,-0.036,0.047,0.011,4.95,TRUE,0.094,0.2215,0.222,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,0.011,0.2215,0.04966139954853273,0.04954954954954954,TDS
spatial_spd,18108,North America,Cold - Cold Summer,analysis=spatial_spd|dataset_id=18108|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,human,0.1463,0.1463,-0.07160000000000001,0.0747,36.44,TRUE,-0.1433,0.2051,0.205,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.0747,0.2052,0.36403508771929827,0.36439024390243907,CCS
spatial_spd,42745,North America,Cold - Cold Summer,analysis=spatial_spd|dataset_id=42745|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,human,0.0032,0.0032,-0.0047,-0.0015,-1.32,TRUE,-0.0095,0.1137,0.114,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,0,0.1153,0,-0.013157894736842105,CCS
spatial_spd,17689,North America,Cold - Warm Summer,analysis=spatial_spd|dataset_id=17689|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,human,-0.0216,-0.0216,0.1408,0.1192,28.25,TRUE,0.2816,0.4225,0.422,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,0.1192,0.4225,0.2821301775147929,0.28246445497630335,CWS
spatial_spd,340,North America,Cold - Warm Summer,analysis=spatial_spd|dataset_id=340|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,human,0.0906,0.0906,-2.999999999999947e-4,0.0903,23.15,TRUE,-5e-4,0.3895,0.39,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,0.0903,0.3895,0.2318356867779204,0.23153846153846155,CWS
spatial_spd,40634,Europe,Cold - Cold Summer,analysis=spatial_spd|dataset_id=40634|region=Europe|climatezone=Cold_Without_dry_season_Cold_Summer,human,-0.0429,-0.0429,0.0555,0.0126,6,TRUE,0.1111,0.2098,0.21,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,0.0126,0.2098,0.060057197330791234,0.060000000000000005,CCS
spatial_spd,15970,North America,Cold - Cold Summer,analysis=spatial_spd|dataset_id=15970|region=North America|climatezone=Cold_Without_dry_season_Cold_Summer,human,-0.009,-0.009,0.0404,0.0314,5.71,TRUE,0.0808,0.55,0.55,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,0.0314,0.5499999999999999,0.057090909090909095,0.05709090909090908,CCS
