analysis,aggregation_level,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models,signed_allocation,delta_from_signed,region,climatezone,age
spatial_spd,region_climatezone,climate,signed,7.8433,11.348,0.6911614381388791,26,0.6911614381388791,0,Oceania,Temperate_Without_dry_season,NA
spatial_spd,region_climatezone,human,signed,3.5028,11.348,0.3086711314769122,26,0.3086711314769122,0,Oceania,Temperate_Without_dry_season,NA
spatial_spd,region_climatezone,climate,signed,1.1672,1.7389999999999999,0.6711903392754457,4,0.6711903392754457,0,Oceania,Tropical,NA
spatial_spd,region_climatezone,human,signed,0.5717,1.7389999999999999,0.3287521564117309,4,0.3287521564117309,0,Oceania,Tropical,NA
spatial_events,region_climatezone,climate,zero_truncated,2.0272,3.5748,0.5670806758420052,9,0.567048951048951,3.1724793054133116e-5,Asia,Arid,NA
spatial_events,region_climatezone,human,zero_truncated,1.5476,3.5748,0.43291932415799483,9,0.4328951048951049,2.4219262889924043e-5,Asia,Arid,NA
spatial_events,region_climatezone,climate,zero_truncated,1.0138,1.7178,0.59017347770404,3,0.590104772991851,6.870471218900498e-5,Asia,Cold_Dry_Summer,NA
spatial_events,region_climatezone,human,zero_truncated,0.704,1.7178,0.40982652229595995,3,0.409778812572759,4.770972320095046e-5,Asia,Cold_Dry_Summer,NA
spatial_events,region_climatezone,climate,zero_truncated,1.2907,2.2456,0.5747684360527253,5,0.5749220489977728,-1.5361294504745437e-4,Asia,Cold_Dry_Winter,NA
spatial_events,region_climatezone,human,zero_truncated,0.9549,2.2456,0.4252315639472746,5,0.42534521158129174,-1.1364763401711109e-4,Asia,Cold_Dry_Winter,NA
spatial_events,region_climatezone,climate,zero_truncated,0.9988,1.3305,0.7506952273581361,3,0.7509774436090225,-2.8221625088642455e-4,Asia,Cold_Without_dry_season_Cold_Summer,NA
spatial_events,region_climatezone,human,zero_truncated,0.3317,1.3305,0.24930477264186396,3,0.24939849624060148,-9.372359873752178e-5,Asia,Cold_Without_dry_season_Cold_Summer,NA
spatial_events,region_climatezone,climate,zero_truncated,0.1914,0.28159999999999996,0.6796875,1,0.6787234042553192,9.640957446808152e-4,Asia,Cold_Without_dry_season_Hot_Summer,NA
