summary_level,metric,contrast,cohort,n_units,n_finite,minimum,lower_quartile,median,mean,upper_quartile,maximum,n_negative,n_zero,n_positive,region
continent,unique_adjusted_r2_pure_human,events_minus_spd,observed_events_only,14,14,-0.016977286800306524,4.447466575412673e-4,0.0034912953816045866,0.002598896856548984,0.006181845191955776,0.01228940776247689,2,0,12,Europe
continent,unique_adjusted_r2_pure_human,spd_events_minus_spd,as_coded,14,14,-0.002215422403253564,0.003587835951309376,0.006597993983188222,0.007390546223407933,0.01049348083537599,0.017490208843064958,2,0,12,Europe
continent,unique_adjusted_r2_pure_human,spd_events_minus_spd,observed_events_only,14,14,-0.012066183515398898,0.009606310515216654,0.014179980795973324,0.0170973968818269,0.022471049346839717,0.043314049384745035,2,0,12,Europe
continent,zero_allocation_climate,events_minus_spd,as_coded,14,14,-0.03224998916390448,-9.476427307688051e-4,0.018625309442576704,0.017799462506304407,0.03770181679048955,0.06354997528194478,4,0,10,Europe
continent,zero_allocation_climate,events_minus_spd,observed_events_only,14,14,-0.1908318419696846,-0.11061923047967012,0.0037934632526755996,-0.005520377869815117,0.07367634772299897,0.1685463857285257,6,0,8,Europe
continent,zero_allocation_climate,spd_events_minus_spd,as_coded,14,14,-0.04823609184774236,-0.030866028531183698,-0.012593139290389826,-0.01240697202369628,-0.003377505115977092,0.05713279370699803,12,0,2,Europe
continent,zero_allocation_climate,spd_events_minus_spd,observed_events_only,14,14,-0.15600300515536175,-0.12432906049779603,-0.05067660098752311,-0.05746955517922133,0.01919889837792932,0.03530914043261146,9,0,5,Europe
continent,zero_allocation_human,events_minus_spd,as_coded,14,14,-0.19360539576352778,-0.05256608654418843,-0.0028766625652251916,-0.028594861575442315,0.018432710866532677,0.07322989063947116,7,0,7,Europe
continent,zero_allocation_human,events_minus_spd,observed_events_only,14,14,-0.2672340425531915,-0.03539066107384323,0.03094466317320417,0.013349108333933471,0.07698508152810704,0.14991834478941818,5,0,9,Europe
continent,zero_allocation_human,spd_events_minus_spd,as_coded,14,14,-9.992273098405058e-4,0.022683178622256855,0.0405645489363078,0.04156568995719863,0.052903495186328794,0.08590314376086346,1,0,13,Europe
continent,zero_allocation_human,spd_events_minus_spd,observed_events_only,14,14,-0.0778756700962275,0.09001400352123544,0.11314883128279099,0.11357236090562983,0.16364909150438556,0.22985568902752887,1,0,13,Europe
continent,controlled_balance,events_minus_spd,as_coded,14,14,-0.0505,-0.010474999999999998,0.0058,0.0070785714285714245,0.02219999999999998,0.058099999999999985,6,0,8,Latin America
continent,controlled_balance,events_minus_spd,observed_events_only,14,14,-0.0505,-0.010474999999999998,0.0058,0.0070785714285714245,0.02219999999999998,0.058099999999999985,6,0,8,Latin America
continent,controlled_balance,spd_events_minus_spd,as_coded,14,14,-0.0066000000000000225,-4.750000000000032e-4,0.0046,0.014314285714285708,0.018324999999999973,0.059899999999999995,4,0,10,Latin America
continent,controlled_balance,spd_events_minus_spd,observed_events_only,14,14,-0.0066000000000000225,-4.750000000000032e-4,0.0046,0.014314285714285708,0.018324999999999973,0.059899999999999995,4,0,10,Latin America
continent,controlled_climate,events_minus_spd,as_coded,14,14,-0.0514,-0.033675,-0.006549999999999993,-0.015092857142857142,-8.750000000000008e-4,0.0169,11,0,3,Latin America
continent,controlled_climate,events_minus_spd,observed_events_only,14,14,-0.0514,-0.033675,-0.006549999999999993,-0.015092857142857142,-8.750000000000008e-4,0.0169,11,0,3,Latin America
continent,controlled_climate,spd_events_minus_spd,as_coded,14,14,-0.0466,-0.0092,-0.0021000000000000046,-0.008507142857142855,2.750000000000079e-4,0.003500000000000003,8,1,5,Latin America
