summary_index,summary_level,cohort,metric,contrast,n_source_rows,maximum_absolute_difference,reconciled
868,climate_zone_within_continent,observed_events_only,zero_balance,spd_events_minus_spd,1,0,TRUE
869,climate_zone_within_continent,as_coded,climate,events_minus_spd,1,0,TRUE
870,climate_zone_within_continent,observed_events_only,climate,events_minus_spd,1,0,TRUE
871,climate_zone_within_continent,as_coded,climate,spd_events_minus_spd,1,0,TRUE
872,climate_zone_within_continent,observed_events_only,climate,spd_events_minus_spd,1,0,TRUE
873,climate_zone_within_continent,as_coded,human,events_minus_spd,1,0,TRUE
874,climate_zone_within_continent,observed_events_only,human,events_minus_spd,1,0,TRUE
875,climate_zone_within_continent,as_coded,human,spd_events_minus_spd,1,0,TRUE
876,climate_zone_within_continent,observed_events_only,human,spd_events_minus_spd,1,0,TRUE
877,climate_zone_within_continent,as_coded,signed_balance,events_minus_spd,1,0,TRUE
878,climate_zone_within_continent,observed_events_only,signed_balance,events_minus_spd,1,0,TRUE
879,climate_zone_within_continent,as_coded,signed_balance,spd_events_minus_spd,1,0,TRUE
880,climate_zone_within_continent,observed_events_only,signed_balance,spd_events_minus_spd,1,0,TRUE
881,climate_zone_within_continent,as_coded,signed_difference,events_minus_spd,1,0,TRUE
882,climate_zone_within_continent,observed_events_only,signed_difference,events_minus_spd,1,0,TRUE
883,climate_zone_within_continent,as_coded,signed_difference,spd_events_minus_spd,1,0,TRUE
884,climate_zone_within_continent,observed_events_only,signed_difference,spd_events_minus_spd,1,0,TRUE
885,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_climate,events_minus_spd,1,0,TRUE
886,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_climate,events_minus_spd,1,0,TRUE
887,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_climate,spd_events_minus_spd,1,0,TRUE
888,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_climate,spd_events_minus_spd,1,0,TRUE
889,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_human,events_minus_spd,1,0,TRUE
890,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_human,events_minus_spd,1,0,TRUE
891,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_human,spd_events_minus_spd,1,0,TRUE
892,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_human,spd_events_minus_spd,1,0,TRUE
893,climate_zone_within_continent,as_coded,zero_balance,events_minus_spd,1,0,TRUE
894,climate_zone_within_continent,observed_events_only,zero_balance,events_minus_spd,1,0,TRUE
895,climate_zone_within_continent,as_coded,zero_balance,spd_events_minus_spd,1,0,TRUE
