cohort,proxy_variant,radius_km,spd_radius_specification,profile_id,aggregation_level,profile,adjusted_balance,n_records,weight_sum,region,climatezone,ranking,selection_status,requested_regional_events,retained_human_predictors,reference_category
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region,zero_truncated,-0.5136435803072785,366,90.2168,Europe,All,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region,zero_truncated,-0.5402896319765511,70,18.9689,Latin America,All,climate,selected,,spd,no_impact
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region,zero_truncated,-0.4091208735139651,536,141.4337,North America,All,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region,zero_truncated,-0.39443755871573716,32,8.7434,Oceania,All,climate,selected,,spd,no_impact
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.5609479064484484,18,3.8738,Asia,Arid,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.9999999999999999,4,0.9088999999999999,Asia,Cold_Dry_Summer,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.6212127798304721,21,4.601,Asia,Cold_Dry_Winter,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.8063029121049599,8,2.2561,Asia,Cold_Without_dry_season_Cold_Summer,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,0.2971830985915493,1,0.14200000000000002,Asia,Cold_Without_dry_season_Hot_Summer,human,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.7443992213767475,13,2.8255,Asia,Cold_Without_dry_season_Warm_Summer,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.5398557258791703,10,2.218,Asia,Polar,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.7178378378378377,4,0.74,Asia,Temperate_Dry_Summer,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.07145414556800167,7,1.9551,Asia,Temperate_Dry_Winter,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.6169011675148612,8,2.3383,Asia,Temperate_Without_dry_season,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.9950273166744449,7,1.4141000000000001,Europe,Arid,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-1.017633444424753,1,0.2842,Europe,Cold_Dry_Summer,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.5212192266582,90,21.7815,Europe,Cold_Without_dry_season_Cold_Summer,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.5296547216538031,140,32.9883,Europe,Cold_Without_dry_season_Warm_Summer,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.5757202173856354,29,6.4239,Europe,Polar,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.5650079333060448,14,3.1126,Europe,Temperate_Dry_Summer,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.4279099943413291,85,24.2122,Europe,Temperate_Without_dry_season,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.338696162225574,5,1.1934,Latin America,Arid,climate,selected,,spd,no_impact
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.6697892271662763,2,0.3416,Latin America,Cold_Dry_Summer,climate,selected,,spd,no_impact
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.6065492433639298,23,6.8527,Latin America,Polar,climate,selected,,spd,no_impact
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.8191655394860056,8,1.9222000000000001,Latin America,Temperate_Dry_Summer,climate,selected,,spd,no_impact
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.3694807488519958,2,0.5662,Latin America,Temperate_Dry_Winter,climate,selected,,spd,no_impact
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.6112840246731934,15,3.5342,Latin America,Temperate_Without_dry_season,climate,selected,,spd,no_impact
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.3323388759706927,15,4.5586,Latin America,Tropical,climate,selected,,spd,no_impact
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.34187744603188114,17,2.9775,North America,Arid,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.30443467251453316,49,11.3071,North America,Cold_Dry_Summer,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.4588843735915467,136,36.204,North America,Cold_Without_dry_season_Cold_Summer,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.5074161514654374,52,13.3334,North America,Cold_Without_dry_season_Hot_Summer,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.3790318244621202,190,55.3472,North America,Cold_Without_dry_season_Warm_Summer,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.641359747052833,36,8.9222,North America,Polar,climate,selected,,spd,bi
