summary_index,summary_level,cohort,metric,contrast,n_source_rows,maximum_absolute_difference,reconciled
140,continent,observed_events_only,zero_allocation_human,spd_events_minus_spd,14,0,TRUE
141,continent,as_coded,controlled_balance,events_minus_spd,5,0,TRUE
142,continent,observed_events_only,controlled_balance,events_minus_spd,5,0,TRUE
143,continent,as_coded,controlled_balance,spd_events_minus_spd,5,0,TRUE
144,continent,observed_events_only,controlled_balance,spd_events_minus_spd,5,0,TRUE
145,continent,as_coded,controlled_climate,events_minus_spd,5,0,TRUE
146,continent,observed_events_only,controlled_climate,events_minus_spd,5,0,TRUE
147,continent,as_coded,controlled_climate,spd_events_minus_spd,5,0,TRUE
148,continent,observed_events_only,controlled_climate,spd_events_minus_spd,5,0,TRUE
149,continent,as_coded,controlled_human,events_minus_spd,5,0,TRUE
150,continent,observed_events_only,controlled_human,events_minus_spd,5,0,TRUE
151,continent,as_coded,controlled_human,spd_events_minus_spd,5,0,TRUE
152,continent,observed_events_only,controlled_human,spd_events_minus_spd,5,0,TRUE
153,continent,as_coded,unique_adjusted_r2_pure_climate,events_minus_spd,5,0,TRUE
154,continent,observed_events_only,unique_adjusted_r2_pure_climate,events_minus_spd,5,0,TRUE
155,continent,as_coded,unique_adjusted_r2_pure_climate,spd_events_minus_spd,5,0,TRUE
156,continent,observed_events_only,unique_adjusted_r2_pure_climate,spd_events_minus_spd,5,0,TRUE
157,continent,as_coded,unique_adjusted_r2_pure_human,events_minus_spd,5,0,TRUE
158,continent,observed_events_only,unique_adjusted_r2_pure_human,events_minus_spd,5,0,TRUE
159,continent,as_coded,unique_adjusted_r2_pure_human,spd_events_minus_spd,5,0,TRUE
160,continent,observed_events_only,unique_adjusted_r2_pure_human,spd_events_minus_spd,5,0,TRUE
161,continent,as_coded,zero_allocation_climate,events_minus_spd,5,0,TRUE
162,continent,observed_events_only,zero_allocation_climate,events_minus_spd,5,0,TRUE
163,continent,as_coded,zero_allocation_climate,spd_events_minus_spd,5,0,TRUE
164,continent,observed_events_only,zero_allocation_climate,spd_events_minus_spd,5,0,TRUE
165,continent,as_coded,zero_allocation_human,events_minus_spd,5,0,TRUE
166,continent,observed_events_only,zero_allocation_human,events_minus_spd,5,0,TRUE
167,continent,as_coded,zero_allocation_human,spd_events_minus_spd,5,0,TRUE
168,continent,observed_events_only,zero_allocation_human,spd_events_minus_spd,5,0,TRUE
