cohort,proxy_variant,region,age,status,selection_status,human_climate_only_balance,controlled_human,controlled_climate,controlled_balance,human_climate_only_ranking,controlled_ranking,ranking_changed,zero_allocation_human,zero_allocation_climate,zero_allocation_space,unique_adjusted_r2_pure_human,unique_adjusted_r2_pure_climate,unique_adjusted_r2_pure_space,unique_adjusted_r2_shared,unique_adjusted_r2_total_explained,unique_adjusted_r2_unexplained,requested_regional_events,retained_human_predictors,reference_category
as_coded,spd,Asia,6500,no_spatial_terms_selected,no_spatial_signal,-0.093,0.0066,0.0996,-0.093,climate,climate,FALSE,0.062146892655367235,0.9378531073446328,0,-0.002393239124602986,0.09053024332947812,0,0.018073568223258785,0.10621057242813392,0.8937894275718661,,spd,bi
as_coded,spd,Asia,7000,no_spatial_terms_selected,no_spatial_signal,-0.0968,0.0125,0.1093,-0.0968,climate,climate,FALSE,0.1026272577996716,0.8973727422003285,0,0.003130478006058812,0.09991748729333039,0,0.018701752058367327,0.12174971735775653,0.8782502826422435,,spd,bi
as_coded,spd,Asia,7500,no_spatial_terms_selected,no_spatial_signal,-0.10120000000000001,0.0221,0.1233,-0.10120000000000001,climate,climate,FALSE,0.15199449793672629,0.8480055020632737,0,0.006433218168668153,0.10765587406949517,0,0.03136765673934394,0.14545674897750727,0.8545432510224927,,spd,bi
as_coded,spd,Asia,8000,spatial_model_estimated,selected,-0.1415,0.0093,0.1472,-0.1379,climate,climate,FALSE,0.05230596175478065,0.8278965129358831,0.11979752530933634,0.0011380118977120102,0.1354047994122657,0.019735699291171582,0.02152202289658367,0.17780053349773295,0.822199466502267,,spd,bi
as_coded,spd,Asia,8500,spatial_model_estimated,selected,-0.15239999999999998,0.0047,0.1601,-0.15539999999999998,climate,climate,FALSE,0.02649379932356257,0.9024802705749717,0.07102593010146561,-5.229415731253795e-4,0.15787643979815325,0.015566280262206522,0.00444737431227582,0.1773671527995102,0.8226328472004898,,spd,bi
as_coded,spd,Oceania,6500,no_spatial_terms_selected,no_spatial_signal,-0.09899999999999999,-0.0124,0.0866,-0.09899999999999999,climate,climate,FALSE,0,1,0,-0.014284128788675687,0.0847416137721142,0,0.003720876068200374,0.07417836105163889,0.9258216389483611,,spd,no_impact
as_coded,spd,Oceania,8000,no_spatial_terms_selected,no_terms_selected,-0.058499999999999996,8e-4,0.0593,-0.058499999999999996,climate,climate,FALSE,0.013311148086522463,0.9866888519134775,0,-0.0014825173685475423,0.05701414757543877,0,0.004472624516250301,0.060004254723141526,0.9399957452768585,,spd,no_impact
as_coded,spd,Oceania,8500,spatial_model_estimated,selected,-0.06649999999999999,-0.001,0.056,-0.057,climate,climate,FALSE,0,0.5189990732159407,0.48100092678405937,-0.008040047758109958,0.039318414751736586,0.0380706989552162,0.03746612946278116,0.10681519541162399,0.893184804588376,,spd,no_impact
observed_events_only,spd,North America,2000,spatial_model_estimated,selected,-0.08789999999999999,0.006,0.0574,-0.0514,climate,climate,FALSE,0.029925187032418952,0.28628428927680794,0.683790523690773,0.004519831303029909,0.019273254309337906,0.10061817889882507,0.07602894442141028,0.20044020893260317,0.7995597910673968,,spd,bi
observed_events_only,spd,North America,2500,spatial_model_estimated,selected,-0.0905,0.0074,0.0597,-0.0523,climate,climate,FALSE,0.03357531760435572,0.27087114337568063,0.6955535390199638,0.005893482789449345,0.019931095853986558,0.11317188691077618,0.08142575109035466,0.22042221664456674,0.7795777833554333,,spd,bi
observed_events_only,spd,North America,3000,spatial_model_estimated,selected,-0.09140000000000001,0.006,0.0584,-0.0524,climate,climate,FALSE,0.028901734104046242,0.2813102119460501,0.6897880539499036,0.0028931205821511874,0.01630981959803024,0.0979744108365379,0.09043386381957319,0.20761121483629252,0.7923887851637075,,spd,bi
observed_events_only,spd,North America,3500,spatial_model_estimated,selected,-0.0953,0.003,0.0595,-0.056499999999999995,climate,climate,FALSE,0.015384615384615384,0.3051282051282051,0.6794871794871795,0.0015511561322294476,0.019313478641665993,0.09245652330187626,0.08168178088537181,0.1950029389611435,0.8049970610388565,,spd,bi
