summary_level,metric,contrast,cohort,n_units,n_finite,minimum,lower_quartile,median,mean,upper_quartile,maximum,n_negative,n_zero,n_positive,region,climatezone
climate_zone_within_continent,signed_difference,spd_events_minus_spd,as_coded,4,4,6.999999999999784e-4,0.0388,0.12130000000000002,0.10925,0.19175000000000003,0.19369999999999998,0,0,4,Asia,Temperate_Without_dry_season
climate_zone_within_continent,signed_difference,spd_events_minus_spd,observed_events_only,4,4,6.999999999999784e-4,0.0388,0.12130000000000002,0.10925,0.19175000000000003,0.19369999999999998,0,0,4,Asia,Temperate_Without_dry_season
climate_zone_within_continent,unique_adjusted_r2_pure_climate,events_minus_spd,as_coded,4,4,-0.2387394250288396,-0.0736702777333813,-0.017644062837383567,-0.06473119561372523,-0.00870498071772749,0.015102768248705822,3,0,1,Asia,Temperate_Without_dry_season
climate_zone_within_continent,unique_adjusted_r2_pure_climate,events_minus_spd,observed_events_only,4,4,-0.2387394250288396,-0.0736702777333813,-0.017644062837383567,-0.06473119561372523,-0.00870498071772749,0.015102768248705822,3,0,1,Asia,Temperate_Without_dry_season
climate_zone_within_continent,unique_adjusted_r2_pure_climate,spd_events_minus_spd,as_coded,4,4,-0.14251795453630656,-0.081741078115495025,-0.03469514929433043,-0.052764972750901556,-0.005719043929736961,8.483621213611903e-4,3,0,1,Asia,Temperate_Without_dry_season
climate_zone_within_continent,unique_adjusted_r2_pure_climate,spd_events_minus_spd,observed_events_only,4,4,-0.14251795453630656,-0.081741078115495025,-0.03469514929433043,-0.052764972750901556,-0.005719043929736961,8.483621213611903e-4,3,0,1,Asia,Temperate_Without_dry_season
climate_zone_within_continent,unique_adjusted_r2_pure_human,events_minus_spd,as_coded,4,4,-0.2944419377769013,-0.04331721227849511,0.04338686016960769,-0.037212473934298995,0.0494915985138038,0.05881832170048995,1,0,3,Asia,Temperate_Without_dry_season
climate_zone_within_continent,unique_adjusted_r2_pure_human,events_minus_spd,observed_events_only,4,4,-0.2944419377769013,-0.04331721227849511,0.04338686016960769,-0.037212473934298995,0.0494915985138038,0.05881832170048995,1,0,3,Asia,Temperate_Without_dry_season
climate_zone_within_continent,unique_adjusted_r2_pure_human,spd_events_minus_spd,as_coded,4,4,-0.047369728780343845,-0.04062896629906679,-0.021786654459496346,-0.01296605837237963,0.005876253467190812,0.03907880420981802,3,0,1,Asia,Temperate_Without_dry_season
climate_zone_within_continent,unique_adjusted_r2_pure_human,spd_events_minus_spd,observed_events_only,4,4,-0.047369728780343845,-0.04062896629906679,-0.021786654459496346,-0.01296605837237963,0.005876253467190812,0.03907880420981802,3,0,1,Asia,Temperate_Without_dry_season
climate_zone_within_continent,zero_balance,events_minus_spd,as_coded,4,4,-0.027537777085014148,-0.006884444271253537,0.0033716590022521697,0.05867726582239484,0.06893336909590055,0.25550352237008916,1,1,2,Asia,Temperate_Without_dry_season
climate_zone_within_continent,zero_balance,events_minus_spd,observed_events_only,4,4,-0.027537777085014148,-0.006884444271253537,0.0033716590022521697,0.05867726582239484,0.06893336909590055,0.25550352237008916,1,1,2,Asia,Temperate_Without_dry_season
climate_zone_within_continent,zero_balance,spd_events_minus_spd,as_coded,4,4,0,0.03205938146098153,0.23220573959154509,0.23569845270193568,0.43584481083249926,0.4783823316246526,0,1,3,Asia,Temperate_Without_dry_season
climate_zone_within_continent,zero_balance,spd_events_minus_spd,observed_events_only,4,4,0,0.03205938146098153,0.23220573959154509,0.23569845270193568,0.43584481083249926,0.4783823316246526,0,1,3,Asia,Temperate_Without_dry_season
