cohort,aggregation_level,profile,region,climatezone,status__spd,status__spd_events,status__events,adjusted_balance__spd,adjusted_balance__spd_events,adjusted_balance__events,n_records__spd,n_records__spd_events,n_records__events,weight_sum__spd,weight_sum__spd_events,weight_sum__events,ranking__spd,ranking__spd_events,ranking__events,adjusted_balance__spd_events_minus_spd,adjusted_balance__events_minus_spd,n_records__spd_events_minus_spd,n_records__events_minus_spd,weight_sum__spd_events_minus_spd,weight_sum__events_minus_spd,ranking__spd_events_vs_spd_reversal,ranking__events_vs_spd_reversal,estimable__spd,estimable__spd_events,estimable__events,three_way_estimable,estimability_change__spd_events_vs_spd,estimability_change__events_vs_spd
as_coded,overall,zero_truncated,All,All,selected,selected,no_spatial_signal,-0.46593622605331725,-0.3787379717070954,-0.17407421451102964,1098,1023,187,281.2215,274.6817,55.3827,climate,climate,climate,0.08719825434622186,0.29186201154228764,-75,-911,-6.539800000000014,-225.8388,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region,zero_truncated,Asia,All,selected,selected,no_spatial_signal,-0.6007264841916491,-0.3675387644424469,-0.168979935179,94,89,31,21.8587,22.3053,8.0838,climate,climate,climate,0.23318771974920222,0.4317465490126491,-5,-63,0.4466000000000001,-13.774899999999999,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region,zero_truncated,Europe,All,selected,selected,no_spatial_signal,-0.5136435803072785,-0.3753965957965137,-0.02774724837132254,366,299,79,90.2168,79.7714,25.1124,climate,climate,climate,0.13824698451076484,0.485896331935956,-67,-287,-10.445400000000006,-65.1044,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region,zero_truncated,Latin America,All,selected,selected,no_spatial_signal,-0.5402896319765511,-0.43505574678615516,-0.46089945574334007,70,70,31,18.9689,19.9294,7.6802,climate,climate,climate,0.10523388519039595,0.07939017623321104,0,-39,0.9604999999999997,-11.288700000000002,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region,zero_truncated,North America,All,selected,selected,no_spatial_signal,-0.4091208735139651,-0.394222862428137,-0.4238208723604721,536,531,25,141.4337,141.2583,7.2172,climate,climate,climate,0.014898011085828111,-0.014699998846507023,-5,-511,-0.17539999999999623,-134.2165,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region,zero_truncated,Oceania,All,selected,selected,no_spatial_signal,-0.39443755871573716,-0.13407409377735832,-0.13435129165466242,32,34,21,8.7434,11.4173,7.2891,climate,climate,climate,0.2603634649383788,0.26008626706107474,2,-11,2.6738999999999997,-1.454299999999999,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,zero_truncated,Asia,Arid,selected,selected,no_spatial_signal,-0.5609479064484484,-0.2932970950859898,-0.24115988140863412,18,15,6,3.8738,3.4037,1.3829,climate,climate,climate,0.2676508113624586,0.3197880250398143,-3,-12,-0.47009999999999996,-2.4909,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,zero_truncated,Asia,Cold_Dry_Summer,selected,selected,no_spatial_signal,-0.9999999999999999,0.10408350639097465,0.25675306957708055,4,3,2,0.9088999999999999,0.8047,0.733,climate,human,human,1.1040835063909746,1.2567530695770803,-1,-2,-0.10419999999999996,-0.17589999999999995,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,zero_truncated,Asia,Cold_Dry_Winter,selected,selected,no_spatial_signal,-0.6212127798304721,-0.49158263429383975,-0.08544886682149434,21,20,4,4.601,4.8842,1.2487000000000001,climate,climate,climate,0.12963014553663232,0.5357639130089777,-1,-17,0.2831999999999999,-3.3522999999999996,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,zero_truncated,Asia,Cold_Without_dry_season_Cold_Summer,selected,selected,no_spatial_signal,-0.8063029121049599,-0.7161301473139451,-0.37228182081762834,8,10,3,2.2561,2.7269,0.6898,climate,climate,climate,0.09017276479101477,0.4340210912873315,2,-5,0.4708000000000001,-1.5663,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,zero_truncated,Asia,Cold_Without_dry_season_Hot_Summer,selected,selected,no_spatial_signal,0.2971830985915493,-0.02935646233968735,-0.3686690223792696,1,2,1,0.14200000000000002,0.3118,0.1698,human,climate,climate,-0.32653956093123665,-0.6658521209708188,1,0,0.1698,0.02779999999999999,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,zero_truncated,Asia,Cold_Without_dry_season_Warm_Summer,selected,selected,no_spatial_signal,-0.7443992213767475,-0.543878512869464,-0.23938062356141449,13,13,4,2.8255,3.2125,0.9558,climate,climate,climate,0.20052070850728354,0.505018597815333,0,-9,0.387,-1.8697,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,zero_truncated,Asia,Polar,selected,selected,no_spatial_signal,-0.5398557258791703,-0.04110662342437941,-0.007707641196013326,10,11,6,2.218,2.5294,1.505,climate,climate,climate,0.49874910245479087,0.532148084683157,1,-4,0.3113999999999999,-0.7130000000000001,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,zero_truncated,Asia,Temperate_Dry_Summer,selected,NA,NA,-0.7178378378378377,NA,NA,4,NA,NA,0.74,NA,NA,climate,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
as_coded,region_climatezone,zero_truncated,Asia,Temperate_Dry_Winter,selected,selected,no_spatial_signal,-0.07145414556800167,-0.10657089380144452,-0.43774319066147865,7,8,1,1.9551,2.3663,0.41119999999999995,climate,climate,climate,-0.03511674823344285,-0.366289045093477,1,-6,0.4111999999999998,-1.5439,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,zero_truncated,Asia,Temperate_Without_dry_season,selected,selected,no_spatial_signal,-0.6169011675148612,-0.3955867022924409,-0.37889833940866763,8,7,4,2.3383,2.0658,0.9875999999999999,climate,climate,climate,0.22131446522242032,0.2380028281061936,-1,-4,-0.27249999999999996,-1.3506999999999998,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,zero_truncated,Europe,Arid,selected,selected,no_spatial_signal,-0.9950273166744449,0.04535002975852719,0.07892258429082695,7,3,4,1.4141000000000001,1.057,1.5927,climate,human,human,1.040377346432972,1.0739499009652718,-4,-3,-0.3571000000000002,0.17859999999999987,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,zero_truncated,Europe,Cold_Dry_Summer,selected,selected,NA,-1.017633444424753,-0.987255175419176,NA,1,1,NA,0.2842,0.2842,NA,climate,climate,NA,0.030378269005577052,NA,0,NA,0,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
as_coded,region_climatezone,zero_truncated,Europe,Cold_Without_dry_season_Cold_Summer,selected,selected,no_spatial_signal,-0.5212192266582,-0.5231249654350262,-0.3440136505829937,90,80,17,21.7815,20.543,5.2745,climate,climate,climate,-0.0019057387768262046,0.17720557607520626,-10,-73,-1.238500000000002,-16.507,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,zero_truncated,Europe,Cold_Without_dry_season_Warm_Summer,selected,selected,no_spatial_signal,-0.5296547216538031,-0.3692040579363621,0.14211209849778605,140,117,31,32.9883,30.8416,9.7789,climate,climate,human,0.16045066371744104,0.6717668201515892,-23,-109,-2.1467000000000027,-23.209400000000002,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,zero_truncated,Europe,Polar,selected,selected,no_spatial_signal,-0.5757202173856354,-0.5304215302587321,0.2892245912611149,29,25,4,6.4239,5.8411,1.0459,climate,climate,human,0.045298687126903325,0.8649448086467503,-4,-25,-0.5827999999999998,-5.378,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,zero_truncated,Europe,Temperate_Dry_Summer,selected,selected,no_spatial_signal,-0.5650079333060448,-0.10009739806435446,0.2753408417308832,14,8,2,3.1126,1.4377,0.6748,climate,climate,human,0.46491053524169035,0.8403487750369281,-6,-12,-1.6749,-2.4378,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,zero_truncated,Europe,Temperate_Without_dry_season,selected,selected,no_spatial_signal,-0.4279099943413291,-0.21944441157645114,-0.13134487666034156,85,65,21,24.2122,19.7668,6.7456000000000005,climate,climate,climate,0.20846558276487795,0.29656511768098753,-20,-64,-4.445399999999999,-17.4666,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
as_coded,region_climatezone,zero_truncated,Latin America,Arid,selected,selected,NA,-0.338696162225574,-0.338696162225574,NA,5,5,NA,1.1934,1.1934,NA,climate,climate,NA,0,NA,0,NA,0,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
as_coded,region_climatezone,zero_truncated,Latin America,Cold_Dry_Summer,selected,selected,no_spatial_signal,-0.6697892271662763,-0.11932059447983002,1.0000000000000002,2,2,1,0.3416,0.47100000000000003,0.157,climate,climate,human,0.5504686326864463,1.6697892271662766,0,-1,0.12940000000000002,-0.18460000000000001,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
