sensitivity_type,omitted_group,distance_km,repetition,aggregation_level,profile,importance_balance,n_records,n_strata,weight_sum,region,climatezone,ranking,baseline_balance,absolute_deviation
thinning,NA,250,1,region_climatezone,zero_truncated,-0.3098751418842225,1,1,0.2643,Oceania,Temperate_Dry_Winter,climate,-0.3098751418842225,0
thinning,NA,250,1,region_climatezone,zero_truncated,-0.3815337101567508,16,1,6.8644,Oceania,Temperate_Without_dry_season,climate,-0.37249783923941227,0.00903587091733854
thinning,NA,250,1,region_climatezone,zero_truncated,-0.31738148984198644,4,1,1.772,Oceania,Tropical,climate,-0.31738148984198644,0
thinning,NA,250,2,overall,signed,-0.542087626214377,739,38,272.156,All,All,climate,-0.5285855289613305,0.013502097253046519
thinning,NA,250,2,region,signed,-0.7103935738346817,95,10,34.733,Asia,All,climate,-0.7139507847316411,0.003557210896959373
thinning,NA,250,2,region,signed,-0.6378199325158422,205,7,72.906,Europe,All,climate,-0.5782751009177085,0.05954483159813373
thinning,NA,250,2,region,signed,-0.5767855629924595,63,7,23.606,Latin America,All,climate,-0.5761872224120259,5.983405804336206e-4
thinning,NA,250,2,region,signed,-0.45038975036242607,353,8,131.751,North America,All,climate,-0.4670971615124708,0.01670741115004476
thinning,NA,250,2,region,signed,-0.37145196506550215,23,6,9.16,Oceania,All,climate,-0.37655536529680367,0.005103400231301514
thinning,NA,250,2,region_climatezone,signed,-0.5800100033344447,19,1,5.998,Asia,Arid,climate,-0.5800100033344447,0
thinning,NA,250,2,region_climatezone,signed,-1.126734842951059,4,1,1.369,Asia,Cold_Dry_Summer,climate,-1.126734842951059,0
