dataset_id,analysis,fraction,adjusted_r_squared
4058,spatial_spd,pure_time,-0.08723594327133621
4058,spatial_spd,shared,0.10789679389357487
4058,spatial_spd,total_explained,-0.004149801973707179
4058,spatial_spd,unexplained,1.0041498019737072
20613,spatial_spd,pure_human,0.030535006991789237
20613,spatial_spd,pure_climate,-0.04098095623359865
20613,spatial_spd,pure_time,-0.030149941588769047
20613,spatial_spd,shared,0.46607048628538417
20613,spatial_spd,total_explained,0.4254745954548057
20613,spatial_spd,unexplained,0.5745254045451943
15738,spatial_spd,pure_human,-0.01556374240596281
15738,spatial_spd,pure_climate,0.30730902252576386
15738,spatial_spd,pure_time,0.09035629424883418
15738,spatial_spd,shared,0.1995642140857231
15738,spatial_spd,total_explained,0.5816657884543583
15738,spatial_spd,unexplained,0.41833421154564165
2287,spatial_spd,pure_human,0.13361422498380537
2287,spatial_spd,pure_climate,0.17011714363646058
2287,spatial_spd,pure_time,-0.025640042866700075
2287,spatial_spd,shared,0.2907412639823804
2287,spatial_spd,total_explained,0.5688325897359463
2287,spatial_spd,unexplained,0.4311674102640537
22842,spatial_spd,pure_human,-0.011548842882635357
22842,spatial_spd,pure_climate,0.09370621003988522
22842,spatial_spd,pure_time,0.24125859060219412
22842,spatial_spd,shared,0.029555086005745523
22842,spatial_spd,total_explained,0.3529710437651895
22842,spatial_spd,unexplained,0.6470289562348105
15288,spatial_spd,pure_human,0.03184303403952615
15288,spatial_spd,pure_climate,0.010533687893406474
15288,spatial_spd,pure_time,0.012238113623669555
15288,spatial_spd,shared,0.29059994563570435
15288,spatial_spd,total_explained,0.34521478119230653
15288,spatial_spd,unexplained,0.6547852188076935
21762,spatial_spd,pure_human,-0.051431966862927725
21762,spatial_spd,pure_climate,0.032729579292148814
21762,spatial_spd,pure_time,0.03410793059865336
21762,spatial_spd,shared,0.39105973805892347
21762,spatial_spd,total_explained,0.4064652810867979
21762,spatial_spd,unexplained,0.5935347189132021
1148,spatial_spd,pure_human,-0.03126480795735431
1148,spatial_spd,pure_climate,0.24987554846722715
1148,spatial_spd,pure_time,0.06772935552201431
1148,spatial_spd,shared,0.23811057376271516
1148,spatial_spd,total_explained,0.5244506697946023
1148,spatial_spd,unexplained,0.4755493302053977
48721,spatial_spd,pure_human,0.26534083620555027
48721,spatial_spd,pure_climate,0.2623721056526984
48721,spatial_spd,pure_time,0.2762339610416612
48721,spatial_spd,shared,-0.2949476272822741
48721,spatial_spd,total_explained,0.5089992756176358
48721,spatial_spd,unexplained,0.4910007243823642
24467,spatial_spd,pure_human,0.01915744389852514
24467,spatial_spd,pure_climate,0.17702664551151515
24467,spatial_spd,pure_time,0.3603308800935622
24467,spatial_spd,shared,-0.020333016085152922
24467,spatial_spd,total_explained,0.5361819534184495
24467,spatial_spd,unexplained,0.46381804658155046
1450,spatial_spd,pure_human,0.1847735546542889
1450,spatial_spd,pure_climate,-0.013693253930950111
1450,spatial_spd,pure_time,0.18771934140865343
1450,spatial_spd,shared,0.06357923242279839
1450,spatial_spd,total_explained,0.4223788745547906
1450,spatial_spd,unexplained,0.5776211254452094
23004,spatial_spd,pure_human,-5.597610586803858e-4
23004,spatial_spd,pure_climate,0.09600331011102059
23004,spatial_spd,pure_time,0.12501479444065489
23004,spatial_spd,shared,-0.001657146164094847
23004,spatial_spd,total_explained,0.21880119732890024
23004,spatial_spd,unexplained,0.7811988026710998
2292,spatial_spd,pure_human,0.10085412400952631
2292,spatial_spd,pure_climate,0.08918207483868767
2292,spatial_spd,pure_time,0.021891821612003093
2292,spatial_spd,shared,0.04858523797572456
2292,spatial_spd,total_explained,0.26051325843594164
2292,spatial_spd,unexplained,0.7394867415640584
2391,spatial_spd,pure_human,0.018409775470242695
2391,spatial_spd,pure_climate,0.16794840825315027
2391,spatial_spd,pure_time,-0.005533460293702497
2391,spatial_spd,shared,0.10538703676483852
2391,spatial_spd,total_explained,0.286211760194529
2391,spatial_spd,unexplained,0.713788239805471
1024,spatial_spd,pure_human,0.082453503762558
1024,spatial_spd,pure_climate,0.19976949349082096
1024,spatial_spd,pure_time,0.08464973519265662
1024,spatial_spd,shared,0.39422329787245114
1024,spatial_spd,total_explained,0.7610960303184867
1024,spatial_spd,unexplained,0.23890396968151328
