region,age,value,distance_km,n_records,n_connected,n_edges,moran_i,expected_i,p_greater,positive_autocorrelation,permutations,status
North America,8000,residual_axis_3,250,543,524,3575,0.010263662037935191,-0.0018450184501845018,0.218,FALSE,999,estimated
North America,8000,residual_axis_1,500,543,540,10307,0.06331964832632249,-0.0018450184501845018,0.001,TRUE,999,estimated
North America,8000,residual_axis_2,500,543,540,10307,-0.0017045362335444834,-0.0018450184501845018,0.441,FALSE,999,estimated
North America,8000,residual_axis_3,500,543,540,10307,8.732158136087286e-4,-0.0018450184501845018,0.317,FALSE,999,estimated
North America,8500,residual_axis_1,250,546,531,3580,0.32858977702599396,-0.001834862385321101,0.001,TRUE,999,estimated
North America,8500,residual_axis_2,250,546,531,3580,0.057222332669874525,-0.001834862385321101,0.004,TRUE,999,estimated
North America,8500,residual_axis_3,250,546,531,3580,0.021176487212621158,-0.001834862385321101,0.085,FALSE,999,estimated
North America,8500,residual_axis_1,500,546,543,10308,0.07969759206363093,-0.001834862385321101,0.001,TRUE,999,estimated
North America,8500,residual_axis_2,500,546,543,10308,0.0011573875311289524,-0.001834862385321101,0.33,FALSE,999,estimated
North America,8500,residual_axis_3,500,546,543,10308,6.749367272113216e-5,-0.001834862385321101,0.402,FALSE,999,estimated
Latin America,2000,residual_axis_1,250,87,73,166,0.13529978665829095,-0.011627906976744186,0.04,TRUE,999,estimated
Latin America,2000,residual_axis_2,250,87,73,166,0.13204463107176045,-0.011627906976744186,0.035,TRUE,999,estimated
Latin America,2000,residual_axis_3,250,87,73,166,0.19053977858262633,-0.011627906976744186,0.012,TRUE,999,estimated
Latin America,2000,residual_axis_1,500,87,81,343,0.04559855878938285,-0.011627906976744186,0.109,FALSE,999,estimated
Latin America,2000,residual_axis_2,500,87,81,343,0.06624701146214887,-0.011627906976744186,0.061,FALSE,999,estimated
Latin America,2000,residual_axis_3,500,87,81,343,0.05634307578727399,-0.011627906976744186,0.091,FALSE,999,estimated
