analysis,region,age,selection_status,n_complete,n_candidates,global_p_value,full_adjusted_r_squared,selected_terms
temporal_events,Latin America,3000,selected,86,11,0.002,0.13299482032126886,dbmem_001
temporal_events,Latin America,4000,selected,85,11,0.001,0.13933377239268052,dbmem_004
temporal_events,Latin America,4500,selected,87,11,0.003,0.1412319129866879,dbmem_001
temporal_events,Latin America,5000,selected,84,11,0.001,0.16572459955405894,dbmem_001
temporal_events,Latin America,5500,selected,86,11,0.001,0.15381427488547028,dbmem_001
temporal_events,Latin America,6000,no_terms_selected,82,11,0.004,0.09258529752098466,
temporal_events,Latin America,6500,no_terms_selected,82,11,0.039,0.05676576574437098,
temporal_events,Latin America,7000,no_terms_selected,81,11,0.036,0.06793818315795552,
temporal_events,Latin America,7500,selected,81,10,0.011,0.08498021567250025,dbmem_004
temporal_events,Latin America,8000,no_terms_selected,74,9,0.01,0.07761962049341653,
temporal_events,Latin America,8500,selected,71,10,0.001,0.11079787030355981,dbmem_001
temporal_events,Latin America,3500,selected,84,13,0.003,0.12769035657967032,dbmem_001
