region,age,predictor,Unique,Average.share,Individual,I.perc(%),model_profile
Asia,5000,climate,0.0521,0.014400000000000003,0.0665,76.44,human_climate
Asia,5000,human,0.0129,0.0112,0.0241,21.52,human_climate_space
Asia,5000,climate,0.0524,0.014700000000000005,0.0671,59.91,human_climate_space
Asia,5000,space,0.0256,-0.004700000000000003,0.0209,18.66,human_climate_space
Asia,5500,human,-9e-4,0.0073999999999999995,0.0065,6.99,human_climate
Asia,5500,climate,0.0791,0.00739999999999999,0.0865,93.01,human_climate
Asia,5500,human,-0.0012,0.0079,0.0067,5,human_climate_space
Asia,5500,climate,0.0838,0.005400000000000002,0.0892,66.57,human_climate_space
Asia,5500,space,0.041,-0.0029,0.0381,28.43,human_climate_space
Asia,6000,human,0.0122,0.014399999999999998,0.0266,25.09,human_climate
Asia,6000,climate,0.065,0.014399999999999996,0.0794,74.91,human_climate
Asia,6000,human,0.0221,0.009799999999999996,0.0319,24.17,human_climate_space
Asia,6000,climate,0.0757,0.009399999999999992,0.0851,64.47,human_climate_space
Asia,6000,space,0.0261,-0.011000000000000001,0.0151,11.44,human_climate_space
Asia,6500,human,-0.0025,0.0074,0.0049,4.62,human_climate
Asia,6500,climate,0.0941,0.007400000000000004,0.1015,95.75,human_climate
Asia,6500,human,-0.0028,0.0077,0.0049,4.26,human_climate_space
Asia,6500,climate,0.0901,0.009499999999999995,0.0996,86.61,human_climate_space
Asia,6500,space,0.0089,0.0017999999999999995,0.0107,9.3,human_climate_space
Asia,7000,human,0.0076,0.014700000000000001,0.0223,16.77,human_climate
Asia,7000,climate,0.0958,0.014700000000000005,0.1105,83.08,human_climate
Asia,7500,human,0.0036,0.0144,0.018,13.53,human_climate
Asia,7500,climate,0.1005,0.014299999999999993,0.1148,86.32,human_climate
Asia,7500,human,0.0056,0.0142,0.0198,11.72,human_climate_space
Asia,7500,climate,0.0984,0.016199999999999992,0.1146,67.81,human_climate_space
Asia,7500,space,0.0367,-0.0017000000000000001,0.035,20.71,human_climate_space
Asia,8000,human,2e-4,0.0095,0.0097,6.06,human_climate
Asia,8000,climate,0.1406,0.009599999999999997,0.1502,93.88,human_climate
Asia,8000,human,0.0012,0.0092,0.0104,5.28,human_climate_space
Asia,8000,climate,0.137,0.011499999999999982,0.1485,75.38,human_climate_space
Asia,8000,space,0.037,0.0011000000000000038,0.0381,19.34,human_climate_space
Asia,8500,human,-0,0.0055,0.0055,3.29,human_climate
Asia,8500,climate,0.1558,0.005500000000000005,0.1613,96.59,human_climate
Asia,8500,human,-0.0034,0.0069,0.0035,1.79,human_climate_space
Asia,8500,climate,0.173,-0.0033999999999999864,0.1696,86.53,human_climate_space
Asia,8500,space,0.0291,-0.0063999999999999994,0.0227,11.58,human_climate_space
Oceania,6500,human,-0.0143,0.0019000000000000006,-0.0124,-16.76,human_climate
Oceania,6500,climate,0.0847,0.001899999999999999,0.0866,117.03,human_climate
Oceania,8000,human,6e-4,-0.0021,-0.0015,-1.81,human_climate
Oceania,8000,climate,0.0868,-0.0021000000000000046,0.0847,102.05,human_climate
Oceania,8500,human,0.0061,-0.0057,4e-4,0.28,human_climate
Oceania,8500,climate,0.1462,-0.005699999999999983,0.1405,99.65,human_climate
Oceania,8500,human,-0.0039,0.0015,-0.0024,-1.26,human_climate_space
Oceania,8500,climate,0.0564,0.0414,0.0978,51.2,human_climate_space
Oceania,8500,space,0.0504,0.0455,0.0959,50.21,human_climate_space
