dataset_id,analysis,predictor,Unique,Average.share,Individual,I.perc(%),model_profile,total_adjusted_r_squared
41421,spatial_spd,climate,0.4052,-0.0348,0.3704,75.75,human_climate_time,0.489
41421,spatial_spd,time,0.1165,-0.021100000000000008,0.0954,19.51,human_climate_time,0.489
1451,spatial_spd,human,0.0506,0.0449,0.0955,26.68,human_climate,0.358
1451,spatial_spd,climate,0.2174,0.04500000000000001,0.2624,73.3,human_climate,0.358
1451,spatial_spd,human,0.0281,0.038099999999999995,0.0662,17.47,human_climate_time,0.379
1451,spatial_spd,climate,-0.0425,0.1568,0.1143,30.16,human_climate_time,0.379
1451,spatial_spd,time,0.0209,0.1775,0.1984,52.35,human_climate_time,0.379
785,spatial_spd,human,-0.0028,0.2159,0.2131,33.77,human_climate,0.631
785,spatial_spd,climate,0.2019,0.2159,0.4178,66.21,human_climate,0.631
785,spatial_spd,human,-0.0248,0.16899999999999998,0.1442,23.3,human_climate_time,0.619
785,spatial_spd,climate,0.0307,0.24359999999999998,0.2743,44.31,human_climate_time,0.619
785,spatial_spd,time,-0.0119,0.2124,0.2005,32.39,human_climate_time,0.619
2311,spatial_spd,human,0.0164,0.045700000000000005,0.0621,9.28,human_climate,0.669
2311,spatial_spd,climate,0.5615,0.04569999999999996,0.6072,90.76,human_climate,0.669
2311,spatial_spd,human,0.0325,0.014699999999999998,0.0472,6.4,human_climate_time,0.737
2311,spatial_spd,climate,0.3108,0.14799999999999996,0.4588,62.25,human_climate_time,0.737
2311,spatial_spd,time,0.0672,0.1633,0.2305,31.28,human_climate_time,0.737
3900,spatial_spd,human,-0.0276,-0.016800000000000002,-0.0444,-35.24,human_climate,0.126
3900,spatial_spd,climate,0.1872,-0.01680000000000001,0.1704,135.24,human_climate,0.126
3900,spatial_spd,human,-0.0522,0.009900000000000006,-0.0423,-13.47,human_climate_time,0.314
3900,spatial_spd,climate,-0.1575,0.17,0.0125,3.98,human_climate_time,0.314
3900,spatial_spd,time,0.1876,0.1558,0.3434,109.36,human_climate_time,0.314
2053,spatial_spd,human,-0.0568,0.031400000000000004,-0.0254,-7.56,human_climate,0.336
2053,spatial_spd,climate,0.3303,0.03140000000000004,0.3617,107.65,human_climate,0.336
2053,spatial_spd,human,-0.0372,0.010799999999999997,-0.0264,-6.63,human_climate_time,0.398
2053,spatial_spd,climate,0.1815,0.09500000000000003,0.2765,69.47,human_climate_time,0.398
2053,spatial_spd,time,0.062,0.0862,0.1482,37.24,human_climate_time,0.398
1149,spatial_spd,human,0.0867,0.1369,0.2236,42.19,human_climate,0.53
1149,spatial_spd,climate,0.1695,0.1369,0.3064,57.81,human_climate,0.53
1149,spatial_spd,human,0.0456,0.09889999999999999,0.1445,25.09,human_climate_time,0.576
1149,spatial_spd,climate,0.1736,0.0763,0.2499,43.39,human_climate_time,0.576
1149,spatial_spd,time,0.0462,0.1355,0.1817,31.55,human_climate_time,0.576
46998,spatial_spd,human,-0.0159,0.0288,0.0129,16.54,human_climate,0.078
46998,spatial_spd,climate,0.0362,0.028900000000000002,0.0651,83.46,human_climate,0.078
46998,spatial_spd,human,-0.0435,0.031099999999999996,-0.0124,-42.76,human_climate_time,0.029
46998,spatial_spd,climate,0.0268,0.022000000000000002,0.0488,168.28,human_climate_time,0.029
46998,spatial_spd,time,-0.0495,0.0416,-0.0079,-27.24,human_climate_time,0.029
