dataset_id,long,lat,depositionalenvironment,region,ecozone_koppen_5,pollen_percentage,n_taxa_harmonised_per_sequence,n_sample_filtered_per_sequence,n_chron_control_filtered_per_sequence,max_pol_counts_per_sequence,min_pol_counts_per_sequence,mean_pol_counts_per_sequence,max_chronology_age_per_sequence,min_chronology_age_per_sequence,mean_chronology_age_per_sequence,max_chronology_age_error_per_sequence,min_chronology_age_error_per_sequence,mean_chronology_age_error_per_sequence,max_calibrated_age_per_sequence,min_calibrated_age_per_sequence,mean_calibrated_age_per_sequence,calibrated_age_range_per_sequence,max_calibrated_age_uncertainty_per_sequence,min_calibrated_age_uncertainty_per_sequence,mean_calibrated_age_uncertainty_per_sequence
2888,-95.30694,46.18444,Kettle Lake,North America,Cold,FALSE,49,17,5,554,318,406,10310,-34,4489.2,220,5,141,11335,130,5409.15,11205,1653.59,243.57,996.59
17400,-121.44339,69.07635,Glacial Origin Lake,North America,Polar,FALSE,27,19,5,416,196,358,12121,-51,6312.8,100,57,78.2,11755,10,6599.47,11745,1277.63,104.01,696.24
24190,8.02306,46.2525,Open-water Transition Mire,Europe,Cold,FALSE,73,38,11,1163,369,638,12580,-12,5526.91,300,42,161.09,11988,56.5,6172.74,11931.5,1229.61,181.02,492.55
20034,20.71667,69.16667,Glacial Origin Lake,Europe,Cold,FALSE,47,72,8,792,263,653,9814,599,6177.88,378,77,228.38,10636.5,354.5,5355.31,10282,1088.14,206.04,568.4
1030,-110.6,43.75,Kettle Lake,North America,Cold,FALSE,42,52,6,449,305,365,17160,0,8246.67,420,30,205,11899,-1,4876.26,11900,2585.8,57.5,1302.44
1961,-70.35,44.03333,Kettle Lake,North America,Cold,FALSE,57,47,12,740,298,394,12860,-30,5747.5,325,1,103.42,11695,-7,5002.91,11702,654.03,3,349.48
41025,-70.883,42.4819,Natural Lake,North America,Cold,FALSE,46,59,9,448,129,337,10350,-64,4815.11,45,1,24,11151.5,-64,3220.19,11215.5,812.59,2,350.11
2644,-119.25833,37.90833,Kettle Lake,North America,Cold,FALSE,37,34,5,703,299,465,8760,0,4166,480,30,254,10322,23,5071.97,10299,2452.6,94.55,967.02
1897,-93.9,42.16,Mire,North America,Cold,FALSE,43,28,5,1069,524,657,9730,0,4088,130,50,80,11904.5,344,6032.91,11560.5,3044.8,238.52,1140.42
2378,-72.58472,45.35889,Swamp,North America,Cold,FALSE,54,37,11,820,464,604,11400,0,6024.09,380,1,181,11199,63,4575.84,11136,1037.06,178.05,501.59
1650,-56.43333,52.45,Lacustrine,North America,Cold,FALSE,55,49,7,1300,210,655,10400,0,6150,150,50,100,11822,229,6768.26,11593,1089.19,169.5,633.44
15309,-84.85905,46.34522,Kettle Lake,North America,Cold,FALSE,37,53,5,916,356,602,8450,-29,4911.2,160,1,95.2,9637.5,17,5316.3,9620.5,1340.85,300.11,873.02
355,-68.15,-16.36667,Mire,Latin America,Polar,FALSE,20,53,6,499,27,196,7310,0,4240,380,1,196.83,8790,88,4546.53,8702,1422.47,302.57,751.02
2351,-151.41667,67.58333,Kettle Lake,North America,Cold,FALSE,31,25,10,620,278,439,12845,0,7967,500,90,204,11953.5,390,6736.52,11563.5,921.54,230.54,589.44
46457,29.14831,60.68702,Bog,Europe,Cold,FALSE,32,65,30,756,86,328,11575,-4,6106.83,858,2,221.97,11808,-22,6767.33,11830,840.15,31,267.8
1656,-112.48083,54.72528,Kettle Lake,North America,Cold,FALSE,42,58,7,2568,2016,2105,13373,-15,7042,572,8,310.43,11880,-15,5778.75,11895,1328.59,16.5,858.65
3031,-93.57713,45.00181,Kettle Lake,North America,Cold,FALSE,81,62,12,1085,298,769,12060,0,4645.42,125,30,75,11635,514,3913.23,11121,1154.35,56.01,404.95
41222,-1.72583,50.82778,Mire,Europe,Temperate,FALSE,71,202,8,649,397,469,10377,-50,6142.12,182,25,114.88,10456,-23,6960.39,10479,1217.89,61.54,339.17
23008,24.63324,50.3413,Bog,Europe,Cold,FALSE,58,29,8,359,284,315,7360,600,3498.75,70,60,68.75,8313.5,480,3385.5,7833.5,799.05,78.51,270.82
20306,-110.82347,45.25707,Glacial Scour Lake,North America,Arid,FALSE,37,73,15,765,511,654,15550,1740,8846,510,25,72.67,11970,912,8722.71,11058,783.04,118.01,422.59
543,-110.6,44.65,Fen,North America,Cold,FALSE,44,28,9,923,307,610,14490,0,7600,1400,30,302.22,11596,-1,5876.68,11597,1771.56,58.52,943.29
4147,21.56513,40.59702,Marsh,Europe,Temperate,FALSE,92,49,5,2631,143,1080,9345,0,4285,250,60,105,11698,212,4623.91,11486,3689.82,186.54,857.66
17406,-88.86157,46.61375,Kettle Lake,North America,Cold,FALSE,38,40,6,369,248,330,8670,-35,4814.17,100,5,68.33,9593.5,-35,4370.19,9628.5,1104.59,10.5,562.6
48935,-3.93936,41.95209,Marsh,Europe,Arid,FALSE,83,174,8,4215,810,1865,9740,-47,4749.12,100,1,57.62,11625,-35,5723.37,11660,1549.09,74.7,635.24
40861,-72.5127,42.5656,Natural Lake,North America,Cold,FALSE,36,21,7,592,338,433,11000,-64,6686.57,45,1,28.71,11922.5,-64,6427.29,11986.5,1514.64,2,611.61
39474,-69.06376,46.31685,Glacial Scour Lake,North America,Cold,FALSE,46,61,7,572,304,404,11010,-49,5524.43,160,1,68.71,11790,124,5699.28,11666,1176.96,114.05,585.27
48361,-150.89721,60.5885,Kettle Lake,North America,Cold,FALSE,34,49,16,842,512,671,13460,-54,6567.31,230,1,64,11976.5,-47,4696.37,12023.5,522.14,16.5,262.15
25,-57.03333,52.51667,Glacial Origin Lake,North America,Cold,FALSE,24,9,5,416,127,305,20520,30,10121,400,50,178,11384,27,7165.39,11357,1940.29,90.51,1246.72
1107,-138.4,64.63333,Glacial Origin Lake,North America,Polar,FALSE,40,71,15,633,59,411,9390,0,5464,100,1,74.4,10616,28,6271.56,10588,527.6,105.08,292.21
14289,-10.16866,52.19109,Cirque Lake,Europe,Temperate,FALSE,55,82,6,326,264,302,9500,-40,5686.67,150,1,110.17,10910.5,-40,4859.67,10950.5,1534.58,2,928.79
25767,11.16667,47.08333,Mire,Europe,Polar,FALSE,85,87,4,2191,883,1189,9630,-15,4843.75,500,95,261.25,11095.5,204.5,5550.97,10891,1582.99,268.16,1129.58
22678,-3.04588,42.04363,Lacustrine,Europe,Cold,FALSE,63,74,5,633,26,403,9310,-43,5474.4,45,25,41,10932.5,180,6322.86,10752.5,1281.67,161.12,762.26
48656,140.58726,-2.54291,Solution Origin Lake,Oceania,Tropical,FALSE,26,20,5,473,89,238,31700,-36,14410.8,1600,1,416.2,11992,49,6459.88,11943,2327.1,227.7,1525.35
15350,-74.60706,42.02536,Glacial Scour Lake,North America,Cold,FALSE,50,69,8,357,146,264,12600,-28,5593.38,700,1,294.5,11925,-28,4284.99,11953,1458.6,2,624.47
16231,-77.34,46.03,Glacial Origin Lake,North America,Cold,FALSE,54,69,8,518,177,338,9830,-18,5007.75,300,100,172.5,11716.5,79.5,4750.64,11637,1356.09,221.71,573.88
2590,-119.58333,55.51139,Glacial Origin Lake,North America,Cold,FALSE,36,31,5,1156,984,1050,11200,-28,6014.4,400,1,210.2,11901,0,5563.48,11901,1994.59,200.66,1302.28
17381,-145.54198,63.98555,Kettle Lake,North America,Cold,FALSE,21,17,3,344,303,317,9280,-35,4631.67,130,10,73.33,11550,91.5,5366.38,11458.5,4891.41,718.01,1857.87
2599,-119.0675,37.6625,Glacial Scour Lake,North America,Cold,FALSE,46,25,6,659,66,374,10879,0,4105.67,1,1,1,11966,20,5232.3,11946,1712.11,2,834.56
4397,17.35631,52.54984,Natural Lake,Europe,Cold,FALSE,76,82,5,1554,939,1172,9110,0,4658,250,70,134,10361.5,102,4852.68,10259.5,1637.04,188.51,957.67
14921,145.04318,-5.78747,Cirque Lake,Oceania,Polar,FALSE,43,46,6,722,215,442,10660,-19,4910.17,540,5,307.5,11647.5,-18,5305.07,11665.5,1304.2,10,860.66
15292,-78.05134,43.08732,Fen,North America,Cold,FALSE,49,24,7,960,510,691,10730,-42,4960.43,360,8,201.86,11882,-17,4997.15,11899,1223.64,112.1,625.55
15306,-71.88616,-52.03906,Bog,Latin America,Polar,FALSE,58,112,9,3576,84,1272,13381,985,8961.33,362,126,225.89,11964.5,582,5125.45,11382.5,1787.7,334.55,725.89
2054,-132.16667,69.11667,Glacial Origin Lake,North America,Cold,FALSE,28,22,6,462,303,328,14600,0,7226.67,400,30,201.67,11686,0,5285.61,11686,2936.85,56.51,1133.9
3500,-97.11667,30.36667,Mire,North America,Temperate,FALSE,54,21,5,480,273,376,17280,-37,8478.6,540,18,255.6,11694.5,185,5296.05,11509.5,3575.69,373.52,2415.21
4330,10.21472,44.29861,Glacial Origin Lake,Europe,Cold,FALSE,52,69,8,454,207,336,9895,-40,5700.62,250,50,78.75,11931,166,7040.07,11765,1080.75,135.53,536.16
2476,-133.58333,69.28333,Glacial Origin Lake,North America,Cold,FALSE,33,66,6,811,464,586,12500,0,6058.33,220,30,145,11790,1,6225.55,11789,1652.15,59.51,957.71
21700,-76.70941,2.36575,Fen,Latin America,Temperate,FALSE,71,18,6,598,120,382,27200,-47,12902.17,260,1,101.67,10670.5,493,1917.17,10177.5,2648.4,83.51,945.63
2382,-81.41667,45.15,Natural Lake,North America,Cold,FALSE,44,60,3,300,300,300,9390,0,5866.67,280,15,185,11251.5,31,6068.27,11220.5,3127.47,243.05,2067.59
24593,-0.41639,47.96944,Marsh,Europe,Temperate,FALSE,91,60,7,392,224,314,9258,-50,3375.57,413,50,184.43,9405,102,4132.37,9303,1116.76,128.04,589.65
2343,-74.39583,46.17194,Natural Lake,North America,Cold,FALSE,55,40,4,1125,384,633,10820,0,7447.5,305,1,139,11723.5,58,5488.64,11665.5,3161.15,552.2,2310.13
4501,13.9,47.17222,Mire,Europe,Cold,FALSE,67,43,6,1583,490,1283,15511,-39,8015,1199,50,354.17,11893.5,-19,7009.44,11912.5,1138.74,69,843.79
41756,13.9,47.17222,Mire,Europe,Cold,FALSE,67,43,6,1583,490,1283,15511,-39,8015,1199,50,354.17,11928,-22,7030.43,11950,1281.62,67.52,934.9
22689,13.05639,52.52444,Bog,Europe,Cold,FALSE,86,129,14,1309,526,980,15925,1055,7894.86,428,102,239.21,11923.5,791,6428.26,11132.5,598.16,196.04,398.12
20883,-114.68645,46.51545,Soligenous Mire,North America,Cold,FALSE,33,21,7,1894,776,1077,38630,-60,17108.86,430,1,193,11970,-60,3314.36,12030,2464.82,2,1402.86
15136,-98.95643,48.06397,Ice Thrust Lake,North America,Cold,FALSE,57,61,29,1144,510,693,10580,-36,799.83,320,1,60.83,11835.5,-37,4453.82,11872.5,620.18,2,251.04
20616,-107.34939,39.7626,Glacial Origin Lake,North America,Cold,FALSE,40,49,19,421,259,318,10760,-59.1,1188.69,40,2,9.84,11719,-60,4580.51,11779,1293.3,4,403.38
3926,23.52349,41.73224,Glacial Origin Lake,Europe,Polar,FALSE,52,30,4,643,222,545,8420,0,3377.5,250,70,140,10560,273,4778.9,10287,3206.16,154.54,1202.57
45379,24.43111,59.175,Lacustrine,Europe,Cold,FALSE,47,43,11,1344,706,1070,12275,0,6079.09,525,75,162.73,11882,34,6088.59,11848,1001.02,147.51,498.7
21770,-132.97333,53.53167,Glacial Origin Lake,North America,Temperate,FALSE,31,66,6,2090,954,1245,11100,-33,6581.17,250,1,141.83,11863.5,143,6707.61,11720.5,1877.81,246.51,844.64
25773,12.35416,47.47138,Raised Bog,Europe,Cold,FALSE,70,66,6,3164,1332,1902,13130,-15,6804.17,465,120,230.83,11995.5,121.5,7430.42,11874,1885.07,295.1,1232.8
4256,12.31566,42.11227,Volcanic Origin Lake,Europe,Temperate,FALSE,58,58,9,646,190,324,11640,-40,7422.22,950,50,313.33,11831,-20,6961.52,11851,2131.96,68.01,1318.66
1782,-95.51333,39.53,Mire,North America,Cold,FALSE,78,29,5,998,243,535,23040,0,9882,1200,1,580.2,11995,357,7277.67,11638,2150.8,1236.02,1745.35
2620,-102.51851,41.71443,Interdunal Lake,North America,Arid,FALSE,48,27,3,591,182,376,8950,-27,4201,320,10,156.67,10281.5,142,4919.3,10139.5,2009.49,421.58,1143.32
4024,13.86667,47.16667,Fen,Europe,Cold,FALSE,60,44,5,1661,168,831,8760,0,4008,160,1,81.2,9905,0,5418.75,9905,1387.58,2,714.72
489,-93.47756,43.109,Glacial Origin Lake,North America,Cold,FALSE,25,46,10,507,242,359,10370,-30,4793,150,5,104.5,11969.5,-30,4927.18,11999.5,760.61,9.5,333.79
24256,14.60392,49.22231,Mire,Europe,Cold,FALSE,67,58,3,1234,392,647,8990,-25,5049.67,250,100,158.33,11948.5,114,6175.51,11834.5,6623.74,290.61,2115.09
1716,-72.83778,46.78778,Natural Lake,North America,Cold,FALSE,49,35,6,785,285,546,9670,0,6332.5,385,1,206,11473,266,6683.14,11207,1929.44,360.65,1014.95
26431,13.27474,47.8042,Lacustrine,Europe,Cold,FALSE,72,116,19,2986,524,709,9515,-40,4833.89,120,38,68.74,11043.5,1.5,4216.93,11042,672.4,83.54,209.97
