analysis,region,age,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models
temporal_spd,Asia,2500,climate,zero_truncated,0.089,0.0945,0.9417989417989417,1
temporal_spd,Asia,2500,human,zero_truncated,0.0055,0.0945,0.0582010582010582,1
temporal_spd,Asia,3000,climate,zero_truncated,0.0861,0.091,0.9461538461538461,1
temporal_spd,Asia,3000,human,zero_truncated,0.0049,0.091,0.05384615384615385,1
temporal_spd,Asia,3500,climate,zero_truncated,0.0882,0.0938,0.9402985074626866,1
temporal_spd,Asia,3500,human,zero_truncated,0.0056,0.0938,0.05970149253731344,1
temporal_spd,Asia,4000,climate,zero_truncated,0.0717,0.0764,0.9384816753926702,1
temporal_spd,Asia,4000,human,zero_truncated,0.0047,0.0764,0.061518324607329845,1
temporal_spd,Asia,4500,climate,zero_truncated,0.0704,0.0844,0.8341232227488152,1
temporal_spd,Asia,4500,human,zero_truncated,0.014,0.0844,0.16587677725118483,1
temporal_spd,Asia,5000,climate,zero_truncated,0.0665,0.08650000000000001,0.7687861271676301,1
temporal_spd,Asia,5000,human,zero_truncated,0.02,0.08650000000000001,0.23121387283236994,1
temporal_spd,Asia,5500,climate,zero_truncated,0.0865,0.093,0.9301075268817204,1
temporal_spd,Asia,5500,human,zero_truncated,0.0065,0.093,0.06989247311827956,1
temporal_spd,Asia,6000,climate,zero_truncated,0.0794,0.106,0.749056603773585,1
temporal_spd,Asia,6000,human,zero_truncated,0.0266,0.106,0.2509433962264151,1
temporal_spd,Asia,6500,climate,zero_truncated,0.1015,0.10640000000000001,0.9539473684210527,1
temporal_spd,Asia,6500,human,zero_truncated,0.0049,0.10640000000000001,0.046052631578947366,1
temporal_spd,Asia,7000,climate,zero_truncated,0.1105,0.1328,0.8320783132530121,1
temporal_spd,Asia,7000,human,zero_truncated,0.0223,0.1328,0.16792168674698796,1
temporal_spd,Asia,7500,climate,zero_truncated,0.1148,0.1328,0.8644578313253012,1
temporal_spd,Asia,7500,human,zero_truncated,0.018,0.1328,0.1355421686746988,1
temporal_spd,Asia,8000,climate,zero_truncated,0.1502,0.1599,0.9393370856785491,1
temporal_spd,Asia,8000,human,zero_truncated,0.0097,0.1599,0.06066291432145091,1
temporal_spd,Asia,8500,climate,zero_truncated,0.1613,0.1668,0.9670263788968825,1
temporal_spd,Asia,8500,human,zero_truncated,0.0055,0.1668,0.0329736211031175,1
temporal_spd,Europe,2000,climate,zero_truncated,0.0924,0.0959,0.9635036496350364,1
temporal_spd,Europe,2000,human,zero_truncated,0.0035,0.0959,0.03649635036496351,1
temporal_spd,Europe,2500,climate,zero_truncated,0.0791,0.08320000000000001,0.9507211538461537,1
temporal_spd,Europe,2500,human,zero_truncated,0.0041,0.08320000000000001,0.04927884615384615,1
temporal_spd,Europe,3000,climate,zero_truncated,0.0582,0.0639,0.9107981220657277,1
temporal_spd,Europe,3000,human,zero_truncated,0.0057,0.0639,0.08920187793427231,1
temporal_spd,Europe,3500,climate,zero_truncated,0.0511,0.0711,0.7187060478199719,1
temporal_spd,Europe,3500,human,zero_truncated,0.02,0.0711,0.2812939521800282,1
temporal_spd,Europe,4000,climate,zero_truncated,0.0787,0.0844,0.9324644549763034,1
temporal_spd,Europe,4000,human,zero_truncated,0.0057,0.0844,0.06753554502369669,1
temporal_spd,Europe,4500,climate,zero_truncated,0.081,0.0838,0.9665871121718378,1
temporal_spd,Europe,4500,human,zero_truncated,0.0028,0.0838,0.03341288782816229,1
temporal_spd,Europe,5000,climate,zero_truncated,0.0645,0.069,0.9347826086956521,1
temporal_spd,Europe,5000,human,zero_truncated,0.0045,0.069,0.06521739130434781,1
temporal_spd,Europe,5500,climate,zero_truncated,0.0868,0.0874,0.9931350114416475,1
temporal_spd,Europe,5500,human,zero_truncated,6e-4,0.0874,0.0068649885583524015,1
temporal_spd,Europe,6000,climate,zero_truncated,0.0706,0.0823,0.8578371810449574,1
temporal_spd,Europe,6000,human,zero_truncated,0.0117,0.0823,0.14216281895504254,1
temporal_spd,Europe,6500,climate,zero_truncated,0.0567,0.0861,0.6585365853658537,1
temporal_spd,Europe,6500,human,zero_truncated,0.0294,0.0861,0.34146341463414637,1
temporal_spd,Europe,7000,climate,zero_truncated,0.0687,0.0862,0.796983758700696,1
temporal_spd,Europe,7000,human,zero_truncated,0.0175,0.0862,0.20301624129930396,1
temporal_spd,Europe,7500,climate,zero_truncated,0.0641,0.1188,0.5395622895622896,1
temporal_spd,Europe,7500,human,zero_truncated,0.0547,0.1188,0.4604377104377104,1
temporal_spd,Europe,8000,climate,zero_truncated,0.0784,0.0938,0.835820895522388,1
temporal_spd,Europe,8000,human,zero_truncated,0.0154,0.0938,0.16417910447761194,1
temporal_spd,Europe,8500,climate,zero_truncated,0.0686,0.0775,0.8851612903225806,1
temporal_spd,Europe,8500,human,zero_truncated,0.0089,0.0775,0.11483870967741935,1
temporal_spd,Latin America,2000,climate,zero_truncated,0.1496,0.1526,0.9803407601572739,1
temporal_spd,Latin America,2000,human,zero_truncated,0.003,0.1526,0.01965923984272608,1
temporal_spd,Latin America,2500,climate,zero_truncated,0.1453,0.1521,0.9552925706771861,1
temporal_spd,Latin America,2500,human,zero_truncated,0.0068,0.1521,0.044707429322813935,1
temporal_spd,Latin America,3000,climate,zero_truncated,0.1837,0.1927,0.9532952776336273,1
temporal_spd,Latin America,3000,human,zero_truncated,0.009,0.1927,0.046704722366372596,1
temporal_spd,Latin America,3500,climate,zero_truncated,0.1927,0.2073,0.929570670525808,1
temporal_spd,Latin America,3500,human,zero_truncated,0.0146,0.2073,0.07042932947419199,1
temporal_spd,Latin America,4000,climate,zero_truncated,0.1913,0.2183,0.8763169949610627,1
temporal_spd,Latin America,4000,human,zero_truncated,0.027,0.2183,0.12368300503893724,1
temporal_spd,Latin America,4500,climate,zero_truncated,0.1816,0.1973,0.9204257475924987,1
temporal_spd,Latin America,4500,human,zero_truncated,0.0157,0.1973,0.07957425240750125,1
temporal_spd,Latin America,5000,climate,zero_truncated,0.1821,0.2073,0.8784370477568741,1
temporal_spd,Latin America,5000,human,zero_truncated,0.0252,0.2073,0.1215629522431259,1
temporal_spd,Latin America,5500,climate,zero_truncated,0.1684,0.17779999999999999,0.9471316085489314,1
temporal_spd,Latin America,5500,human,zero_truncated,0.0094,0.17779999999999999,0.05286839145106862,1
temporal_spd,Latin America,6000,climate,zero_truncated,0.1557,0.1653,0.941923774954628,1
temporal_spd,Latin America,6000,human,zero_truncated,0.0096,0.1653,0.05807622504537204,1
temporal_spd,Latin America,6500,climate,zero_truncated,0.163,0.163,1,1
temporal_spd,Latin America,6500,human,zero_truncated,0,0.163,0,1
temporal_spd,Latin America,7000,climate,zero_truncated,0.122,0.1284,0.9501557632398755,1
temporal_spd,Latin America,7000,human,zero_truncated,0.0064,0.1284,0.049844236760124616,1
temporal_spd,Latin America,7500,climate,zero_truncated,0.1495,0.156,0.9583333333333333,1
temporal_spd,Latin America,7500,human,zero_truncated,0.0065,0.156,0.041666666666666664,1
temporal_spd,Latin America,8000,climate,zero_truncated,0.1198,0.17220000000000002,0.6957026713124274,1
temporal_spd,Latin America,8000,human,zero_truncated,0.0524,0.17220000000000002,0.3042973286875726,1
temporal_spd,Latin America,8500,climate,zero_truncated,0.1274,0.1371,0.9292487235594458,1
temporal_spd,Latin America,8500,human,zero_truncated,0.0097,0.1371,0.07075127644055434,1
temporal_spd,North America,2000,climate,zero_truncated,0.0979,0.1033,0.9477250726040658,1
temporal_spd,North America,2000,human,zero_truncated,0.0054,0.1033,0.05227492739593417,1
temporal_spd,North America,2500,climate,zero_truncated,0.1004,0.1086,0.9244935543278084,1
temporal_spd,North America,2500,human,zero_truncated,0.0082,0.1086,0.07550644567219153,1
temporal_spd,North America,3000,climate,zero_truncated,0.1033,0.1143,0.9037620297462817,1
temporal_spd,North America,3000,human,zero_truncated,0.011,0.1143,0.09623797025371827,1
temporal_spd,North America,3500,climate,zero_truncated,0.1002,0.104,0.9634615384615385,1
temporal_spd,North America,3500,human,zero_truncated,0.0038,0.104,0.03653846153846154,1
temporal_spd,North America,4000,climate,zero_truncated,0.0879,0.09820000000000001,0.895112016293279,1
temporal_spd,North America,4000,human,zero_truncated,0.0103,0.09820000000000001,0.10488798370672096,1
temporal_spd,North America,4500,climate,zero_truncated,0.0982,0.1074,0.9143389199255121,1
temporal_spd,North America,4500,human,zero_truncated,0.0092,0.1074,0.0856610800744879,1
temporal_spd,North America,5000,climate,zero_truncated,0.1011,0.10779999999999999,0.937847866419295,1
temporal_spd,North America,5000,human,zero_truncated,0.0067,0.10779999999999999,0.06215213358070502,1
temporal_spd,North America,5500,climate,zero_truncated,0.087,0.09839999999999999,0.8841463414634146,1
temporal_spd,North America,5500,human,zero_truncated,0.0114,0.09839999999999999,0.11585365853658539,1
temporal_spd,North America,6000,climate,zero_truncated,0.0931,0.1056,0.881628787878788,1
temporal_spd,North America,6000,human,zero_truncated,0.0125,0.1056,0.11837121212121213,1
temporal_spd,North America,6500,climate,zero_truncated,0.0944,0.1036,0.9111969111969112,1
temporal_spd,North America,6500,human,zero_truncated,0.0092,0.1036,0.0888030888030888,1
temporal_spd,North America,7000,climate,zero_truncated,0.0938,0.1059,0.8857412653446648,1
temporal_spd,North America,7000,human,zero_truncated,0.0121,0.1059,0.11425873465533523,1
temporal_spd,North America,7500,climate,zero_truncated,0.0924,0.1043,0.8859060402684563,1
temporal_spd,North America,7500,human,zero_truncated,0.0119,0.1043,0.11409395973154363,1
temporal_spd,North America,8000,climate,zero_truncated,0.1183,0.1249,0.9471577261809448,1
temporal_spd,North America,8000,human,zero_truncated,0.0066,0.1249,0.05284227381905524,1
temporal_spd,North America,8500,climate,zero_truncated,0.1151,0.11989999999999999,0.9599666388657214,1
temporal_spd,North America,8500,human,zero_truncated,0.0048,0.11989999999999999,0.040033361134278564,1
temporal_spd,Oceania,2000,climate,zero_truncated,0.0083,0.0315,0.2634920634920635,1
temporal_spd,Oceania,2000,human,zero_truncated,0.0232,0.0315,0.7365079365079364,1
temporal_spd,Oceania,2500,climate,zero_truncated,0.0794,0.1018,0.7799607072691552,1
temporal_spd,Oceania,2500,human,zero_truncated,0.0224,0.1018,0.2200392927308448,1
temporal_spd,Oceania,3000,climate,zero_truncated,0.123,0.1534,0.8018252933507171,1
temporal_spd,Oceania,3000,human,zero_truncated,0.0304,0.1534,0.1981747066492829,1
temporal_spd,Oceania,3500,climate,zero_truncated,0.1355,0.1598,0.8479349186483105,1
temporal_spd,Oceania,3500,human,zero_truncated,0.0243,0.1598,0.1520650813516896,1
temporal_spd,Oceania,4000,climate,zero_truncated,0.0957,0.10579999999999999,0.9045368620037807,1
temporal_spd,Oceania,4000,human,zero_truncated,0.0101,0.10579999999999999,0.09546313799621929,1
temporal_spd,Oceania,4500,climate,zero_truncated,0.1186,0.1234,0.9611021069692058,1
temporal_spd,Oceania,4500,human,zero_truncated,0.0048,0.1234,0.03889789303079416,1
temporal_spd,Oceania,5000,climate,zero_truncated,0.0633,0.0759,0.83399209486166,1
temporal_spd,Oceania,5000,human,zero_truncated,0.0126,0.0759,0.16600790513833993,1
temporal_spd,Oceania,5500,climate,zero_truncated,0.0631,0.0688,0.9171511627906977,1
temporal_spd,Oceania,5500,human,zero_truncated,0.0057,0.0688,0.08284883720930233,1
temporal_spd,Oceania,6000,climate,zero_truncated,0.0688,0.0688,1,1
temporal_spd,Oceania,6000,human,zero_truncated,0,0.0688,0,1
temporal_spd,Oceania,6500,climate,zero_truncated,0.0866,0.0866,1,1
temporal_spd,Oceania,6500,human,zero_truncated,0,0.0866,0,1
temporal_spd,Oceania,7500,climate,zero_truncated,0.0584,0.0584,1,1
temporal_spd,Oceania,7500,human,zero_truncated,0,0.0584,0,1
temporal_spd,Oceania,8000,climate,zero_truncated,0.0847,0.0847,1,1
temporal_spd,Oceania,8000,human,zero_truncated,0,0.0847,0,1
temporal_spd,Oceania,8500,climate,zero_truncated,0.1405,0.14090000000000003,0.9971611071682043,1
temporal_spd,Oceania,8500,human,zero_truncated,4e-4,0.14090000000000003,0.0028388928317955994,1
