analysis,region,age,predictor,Unique,Average.share,individual,I.perc(%),model_profile,zero_individual,zero_total,allocation,status,n_samples,selection_status,n_candidates,n_selected,global_p_value,spatial_adjusted_r_squared
temporal_spd,Europe,8000,space,0.0674,0.008499999999999994,0.0759,46.85,human_climate_space,0.0759,0.1618,0.469097651421508,spatial_model_estimated,376,selected,78,6,0.001,0.19934820838210798
temporal_spd,Europe,8500,human,0.0027,0.0061,0.0088,5.79,human_climate_space,0.0088,0.1515,0.058085808580858093,spatial_model_estimated,359,selected,75,4,0.001,0.22154680844507613
temporal_spd,Europe,8500,climate,0.0625,0.0063,0.0688,45.26,human_climate_space,0.0688,0.1515,0.45412541254125416,spatial_model_estimated,359,selected,75,4,0.001,0.22154680844507613
temporal_spd,Europe,8500,space,0.0743,-4.0000000000001146e-4,0.0739,48.62,human_climate_space,0.0739,0.1515,0.48778877887788774,spatial_model_estimated,359,selected,75,4,0.001,0.22154680844507613
temporal_spd,Latin America,2000,human,8e-4,0.003999999999999999,0.0048,2.86,human_climate_space,0.0048,0.16820000000000002,0.028537455410225916,spatial_model_estimated,87,selected,11,1,0.005,0.09639641289073075
temporal_spd,Latin America,2000,climate,0.1257,0.014899999999999997,0.1406,83.69,human_climate_space,0.1406,0.16820000000000002,0.8359096313912009,spatial_model_estimated,87,selected,11,1,0.005,0.09639641289073075
temporal_spd,Latin America,2000,space,0.0156,0.0072000000000000015,0.0228,13.57,human_climate_space,0.0228,0.16820000000000002,0.13555291319857313,spatial_model_estimated,87,selected,11,1,0.005,0.09639641289073075
temporal_spd,Latin America,2500,human,0.0054,0.0043,0.0097,5.36,human_climate_space,0.0097,0.1813,0.05350248207391065,spatial_model_estimated,87,selected,11,1,0.002,0.12634554493061922
temporal_spd,Latin America,2500,climate,0.1261,0.014800000000000008,0.1409,77.85,human_climate_space,0.1409,0.1813,0.7771649200220629,spatial_model_estimated,87,selected,11,1,0.002,0.12634554493061922
temporal_spd,Latin America,2500,space,0.0288,0.0019000000000000024,0.0307,16.96,human_climate_space,0.0307,0.1813,0.1693325979040265,spatial_model_estimated,87,selected,11,1,0.002,0.12634554493061922
temporal_spd,Latin America,3000,human,0.0238,-0.010500000000000002,0.0133,6.65,human_climate_space,0.0133,0.2001,0.06646676661669165,spatial_model_estimated,86,selected,11,1,0.002,0.11079776058083013
temporal_spd,Latin America,3000,climate,0.1729,-0.003599999999999992,0.1693,84.65,human_climate_space,0.1693,0.2001,0.8460769615192404,spatial_model_estimated,86,selected,11,1,0.002,0.11079776058083013
temporal_spd,Latin America,3000,space,0.0201,-0.002599999999999998,0.0175,8.75,human_climate_space,0.0175,0.2001,0.08745627186406797,spatial_model_estimated,86,selected,11,1,0.002,0.11079776058083013
temporal_spd,Latin America,3500,human,0.0246,-0.011600000000000001,0.013,6.37,human_climate_space,0.013,0.2041,0.06369426751592357,no_spatial_terms_selected,84,no_spatial_signal,13,0,0.064,0.05789044625668005
temporal_spd,Latin America,3500,climate,0.2027,-0.0116,0.1911,93.68,human_climate_space,0.1911,0.2041,0.9363057324840763,no_spatial_terms_selected,84,no_spatial_signal,13,0,0.064,0.05789044625668005
temporal_spd,Latin America,3500,space,NA,NA,0,NA,human_climate_space,0,0.2041,0,no_spatial_terms_selected,84,no_spatial_signal,13,0,0.064,0.05789044625668005
temporal_spd,Latin America,4000,human,0.0407,-0.0133,0.0274,12.29,human_climate_space,0.0274,0.2228,0.1229802513464991,spatial_model_estimated,85,selected,11,1,0.014,0.07525616368080223
temporal_spd,Latin America,4000,climate,0.2092,-0.015399999999999997,0.1938,86.91,human_climate_space,0.1938,0.2228,0.86983842010772,spatial_model_estimated,85,selected,11,1,0.014,0.07525616368080223
temporal_spd,Latin America,4000,space,0.0044,-0.0028000000000000004,0.0016,0.72,human_climate_space,0.0016,0.2228,0.00718132854578097,spatial_model_estimated,85,selected,11,1,0.014,0.07525616368080223
temporal_spd,Latin America,4500,human,0.0212,-0.005500000000000001,0.0157,7.97,human_climate_space,0.0157,0.1973,0.07957425240750125,no_spatial_terms_selected,87,no_terms_selected,11,0,0.025,0.07198887476530846
temporal_spd,Latin America,4500,climate,0.187,-0.005399999999999988,0.1816,92.18,human_climate_space,0.1816,0.1973,0.9204257475924987,no_spatial_terms_selected,87,no_terms_selected,11,0,0.025,0.07198887476530846
temporal_spd,Latin America,4500,space,NA,NA,0,NA,human_climate_space,0,0.1973,0,no_spatial_terms_selected,87,no_terms_selected,11,0,0.025,0.07198887476530846
temporal_spd,Latin America,5000,human,0.0213,-0.0022000000000000006,0.0191,8.13,human_climate_space,0.0191,0.2347,0.08138048572645931,spatial_model_estimated,84,selected,11,1,0.003,0.10861939138359433
temporal_spd,Latin America,5000,climate,0.1125,0.029399999999999996,0.1419,60.38,human_climate_space,0.1419,0.2347,0.6046016190881978,spatial_model_estimated,84,selected,11,1,0.003,0.10861939138359433
temporal_spd,Latin America,5000,space,0.0307,0.043,0.0737,31.36,human_climate_space,0.0737,0.2347,0.314017895185343,spatial_model_estimated,84,selected,11,1,0.003,0.10861939138359433
temporal_spd,Latin America,5500,human,0.012,-0.0026,0.0094,5.7,human_climate_space,0.0094,0.16519999999999999,0.05690072639225182,no_spatial_terms_selected,86,no_terms_selected,11,0,0.001,0.11214519897940323
