analysis,region,age,n_models,climate,human,importance_balance
temporal_spd,Europe,3500,1,0.7187060478199719,0.2812939521800282,-0.43741209563994377
temporal_spd,Europe,4000,1,0.9324644549763034,0.06753554502369669,-0.8649289099526067
temporal_spd,Europe,4500,1,0.9665871121718378,0.03341288782816229,-0.9331742243436755
temporal_spd,Europe,5000,1,0.9347826086956521,0.06521739130434781,-0.8695652173913043
temporal_spd,Europe,5500,1,0.9931350114416475,0.0068649885583524015,-0.9862700228832951
temporal_spd,Europe,6000,1,0.8578371810449574,0.14216281895504254,-0.7156743620899149
temporal_spd,Europe,6500,1,0.6585365853658537,0.34146341463414637,-0.3170731707317073
temporal_spd,Europe,7000,1,0.796983758700696,0.20301624129930396,-0.5939675174013921
temporal_spd,Europe,7500,1,0.5395622895622896,0.4604377104377104,-0.07912457912457915
temporal_spd,Europe,8000,1,0.835820895522388,0.16417910447761194,-0.6716417910447761
temporal_spd,Europe,8500,1,0.8851612903225806,0.11483870967741935,-0.7703225806451612
temporal_spd,Latin America,2000,1,0.9803407601572739,0.01965923984272608,-0.9606815203145478
temporal_spd,Latin America,2500,1,0.9552925706771861,0.044707429322813935,-0.9105851413543722
temporal_spd,Latin America,3000,1,0.9532952776336273,0.046704722366372596,-0.9065905552672547
temporal_spd,Latin America,3500,1,0.929570670525808,0.07042932947419199,-0.859141341051616
temporal_spd,Latin America,4000,1,0.8763169949610627,0.12368300503893724,-0.7526339899221255
temporal_spd,Latin America,4500,1,0.9204257475924987,0.07957425240750125,-0.8408514951849975
temporal_spd,Latin America,5000,1,0.8784370477568741,0.1215629522431259,-0.7568740955137483
temporal_spd,Latin America,5500,1,0.9471316085489314,0.05286839145106862,-0.8942632170978628
temporal_spd,Latin America,6000,1,0.941923774954628,0.05807622504537204,-0.883847549909256
temporal_spd,Latin America,6500,1,1,0,-1
temporal_spd,Latin America,7000,1,0.9501557632398755,0.049844236760124616,-0.9003115264797509
temporal_spd,Latin America,7500,1,0.9583333333333333,0.041666666666666664,-0.9166666666666666
temporal_spd,Latin America,8000,1,0.6957026713124274,0.3042973286875726,-0.39140534262485477
temporal_spd,Latin America,8500,1,0.9292487235594458,0.07075127644055434,-0.8584974471188914
temporal_spd,North America,2000,1,0.9477250726040658,0.05227492739593417,-0.8954501452081316
temporal_spd,North America,2500,1,0.9244935543278084,0.07550644567219153,-0.8489871086556169
temporal_spd,North America,3000,1,0.9037620297462817,0.09623797025371827,-0.8075240594925635
temporal_spd,North America,3500,1,0.9634615384615385,0.03653846153846154,-0.926923076923077
temporal_spd,North America,4000,1,0.895112016293279,0.10488798370672096,-0.790224032586558
temporal_spd,North America,4500,1,0.9143389199255121,0.0856610800744879,-0.8286778398510242
temporal_spd,North America,5000,1,0.937847866419295,0.06215213358070502,-0.8756957328385899
