radius_km,region,age,status,selection_status,human_climate_only_balance,controlled_human,controlled_climate,controlled_balance,human_climate_only_ranking,controlled_ranking,zero_allocation_human,zero_allocation_climate,zero_allocation_space,unique_adjusted_r2_pure_human,unique_adjusted_r2_pure_climate,unique_adjusted_r2_pure_space,unique_adjusted_r2_shared,unique_adjusted_r2_total_explained,unique_adjusted_r2_unexplained
250,Latin America,3000,spatial_model_estimated,selected,-0.16999999999999998,-0.0013,0.1655,-0.1668,climate,climate,0,0.916389811738649,0.08361018826135105,0.002986683640581078,0.1665800818503259,0.01652277919445022,-0.00676789604849215,0.17932164863686506,0.8206783513631349
250,Latin America,4000,spatial_model_estimated,selected,-0.165,0.0254,0.1885,-0.1631,climate,climate,0.11390134529147981,0.8452914798206278,0.04080717488789238,0.034785342690555,0.19592857140079323,0.005920156225344142,-0.013655394286178568,0.2229786760305138,0.7770213239694862
250,Latin America,4500,no_spatial_terms_selected,no_terms_selected,-0.16110000000000002,0.017,0.1781,-0.16110000000000002,climate,climate,0.08713480266529985,0.9128651973347002,0,0.018999577969051384,0.18012406955095361,0,-0.003960727148300092,0.1951629203717049,0.8048370796282951
250,Latin America,5000,spatial_model_estimated,selected,-0.15030000000000002,0.0174,0.1352,-0.11779999999999999,climate,climate,0.07604895104895104,0.5909090909090908,0.3330419580419581,0.015360304118779311,0.10067509580923772,0.03739257610676161,0.07534065207934793,0.22876862811412657,0.7712313718858734
250,Latin America,5500,no_spatial_terms_selected,no_terms_selected,-0.1204,0.0178,0.1382,-0.1204,climate,climate,0.1141025641025641,0.8858974358974359,0,0.002737790821513042,0.12307706105310356,0,0.030182065958712423,0.15599691783332903,0.844003082166671
250,Latin America,6000,no_spatial_terms_selected,no_terms_selected,-0.12110000000000001,0.0212,0.1423,-0.12110000000000001,climate,climate,0.12966360856269113,0.8703363914373089,0,0.008848634002799782,0.1299173144695881,0,0.024770856405694652,0.16353680487808253,0.8364631951219175
250,Latin America,6500,no_spatial_terms_selected,no_terms_selected,-0.1545,0.0027,0.1572,-0.1545,climate,climate,0.016885553470919325,0.9831144465290806,0,-0.0032280489859590755,0.15122010290491172,0,0.011924261342111553,0.1599163152610642,0.8400836847389358
250,Latin America,7000,no_spatial_terms_selected,no_terms_selected,-0.0882,0.0225,0.1107,-0.0882,climate,climate,0.1689189189189189,0.831081081081081,0,0.007237816970071975,0.09548262128158269,0,0.030461798323366485,0.13318223657502115,0.8668177634249788
250,Latin America,7500,no_spatial_terms_selected,no_terms_selected,-0.1352,0.004,0.1392,-0.1352,climate,climate,0.02793296089385475,0.9720670391061452,0,0.0017733428363844173,0.13704801314244863,0,0.004360931445632543,0.1431822874244656,0.8568177125755344
250,Latin America,8000,no_spatial_terms_selected,no_spatial_signal,-0.1024,0.0218,0.1242,-0.1024,climate,climate,0.14931506849315065,0.8506849315068492,0,0.03220297863821109,0.13465522821350995,0,-0.020862055199218354,0.14599615165250268,0.8540038483474973
250,Latin America,8500,spatial_model_estimated,selected,-0.11019999999999999,4e-4,0.0859,-0.0855,climate,climate,0.0026195153896529143,0.5625409299279633,0.4348395546823838,-0.005571452043953706,0.05522632146648687,0.03828900249303935,0.06474720974142723,0.15269108165699974,0.8473089183430003
250,Latin America,3500,no_spatial_terms_selected,no_terms_selected,-0.1694,0.0091,0.1785,-0.1694,climate,climate,0.04850746268656717,0.9514925373134329,0,0.00809746922457033,0.17749286295696487,0,0.0019955296111112686,0.18758586179264647,0.8124141382073535
250,Oceania,2000,no_spatial_terms_selected,no_terms_selected,0.0115,0.0174,0.0059,0.0115,human,human,0.7467811158798283,0.2532188841201717,0,6.048235945801395e-4,-0.010954892685541173,0,0.03362952443963407,0.02327945534867304,0.976720544651327
