analysis,region,age,fraction,adjusted_r_squared
temporal_spd,Oceania,4500,unexplained,0.8622291605608856
temporal_spd,Oceania,5000,pure_human,-0.009272622955229681
temporal_spd,Oceania,5000,pure_climate,0.052473868849698846
temporal_spd,Oceania,5000,pure_space,0
temporal_spd,Oceania,5000,shared,0.021787983608027695
temporal_spd,Oceania,5000,total_explained,0.06498922950249686
temporal_spd,Oceania,5000,unexplained,0.9350107704975031
temporal_spd,Oceania,5500,pure_human,-5.869979176701401e-4
temporal_spd,Oceania,5500,pure_climate,0.05203762037512505
temporal_spd,Oceania,5500,pure_space,0
temporal_spd,Oceania,5500,shared,0.012846040712248263
temporal_spd,Oceania,5500,total_explained,0.06429666316970317
temporal_spd,Oceania,5500,unexplained,0.9357033368302968
temporal_spd,Oceania,6000,pure_human,-0.00245768725440898
temporal_spd,Oceania,6000,pure_climate,0.06763023140197644
temporal_spd,Oceania,6000,pure_space,0
temporal_spd,Oceania,6000,shared,0.002392127546723466
temporal_spd,Oceania,6000,total_explained,0.06756467169429092
temporal_spd,Oceania,6000,unexplained,0.9324353283057091
temporal_spd,Oceania,7000,pure_human,-0.016585569950388068
temporal_spd,Oceania,7000,pure_climate,0.0038261790880251834
temporal_spd,Oceania,7000,pure_space,0
temporal_spd,Oceania,7000,shared,0.005564798818815886
temporal_spd,Oceania,7000,total_explained,-0.007194592043546999
temporal_spd,Oceania,7000,unexplained,1.007194592043547
temporal_spd,Oceania,7500,pure_human,-0.016861016607486512
temporal_spd,Oceania,7500,pure_climate,0.04121803456624262
temporal_spd,Oceania,7500,pure_space,0
temporal_spd,Oceania,7500,shared,0.0039301444606776315
temporal_spd,Oceania,7500,total_explained,0.028287162419433742
temporal_spd,Oceania,7500,unexplained,0.9717128375805663
temporal_spd,Asia,2000,pure_human,0.01646818755036783
temporal_spd,Asia,2000,pure_climate,0.08976972207601741
temporal_spd,Asia,2000,pure_space,0.03090074284675537
temporal_spd,Asia,2000,shared,-0.00813835227230264
temporal_spd,Asia,2000,total_explained,0.12900030020083797
temporal_spd,Asia,2000,unexplained,0.870999699799162
temporal_spd,Asia,2500,pure_human,0.0036273321612295684
temporal_spd,Asia,2500,pure_climate,0.09527374064501504
temporal_spd,Asia,2500,pure_space,0.03344588447269414
temporal_spd,Asia,2500,shared,-0.004457606242248557
temporal_spd,Asia,2500,total_explained,0.1278893510366902
temporal_spd,Asia,2500,unexplained,0.8721106489633098
temporal_spd,Asia,3000,pure_human,0.004389528676442711
temporal_spd,Asia,3000,pure_climate,0.08390523576148734
temporal_spd,Asia,3000,pure_space,0.02968615522983231
temporal_spd,Asia,3000,shared,0.003372704833709994
temporal_spd,Asia,3000,total_explained,0.12135362450147236
temporal_spd,Asia,3000,unexplained,0.8786463754985276
temporal_spd,Asia,3500,pure_human,-1.8776938613784822e-4
temporal_spd,Asia,3500,pure_climate,0.07842311700666393
temporal_spd,Asia,3500,pure_space,0
temporal_spd,Asia,3500,shared,0.011849103527848293
temporal_spd,Asia,3500,total_explained,0.09008445114837438
temporal_spd,Asia,3500,unexplained,0.9099155488516256
temporal_spd,Asia,4000,pure_human,0.004152790380215765
temporal_spd,Asia,4000,pure_climate,0.06932562098338813
temporal_spd,Asia,4000,pure_space,0
temporal_spd,Asia,4000,shared,0.002406026905015679
temporal_spd,Asia,4000,total_explained,0.07588443826861957
temporal_spd,Asia,4000,unexplained,0.9241155617313804
temporal_spd,Asia,4500,pure_human,0.0031617997605227766
temporal_spd,Asia,4500,pure_climate,0.0616644948091426
temporal_spd,Asia,4500,pure_space,0.04069341664982973
temporal_spd,Asia,4500,shared,0.021935799939933
temporal_spd,Asia,4500,total_explained,0.1274555111594281
temporal_spd,Asia,4500,unexplained,0.8725444888405719
temporal_spd,Asia,5000,pure_human,0.012855450405264146
temporal_spd,Asia,5000,pure_climate,0.05238111814195079
temporal_spd,Asia,5000,pure_space,0.02556105780301743
temporal_spd,Asia,5000,shared,0.021182256513295306
temporal_spd,Asia,5000,total_explained,0.11197988286352767
temporal_spd,Asia,5000,unexplained,0.8880201171364723
temporal_spd,Asia,5500,pure_human,-0.002888152510223785
temporal_spd,Asia,5500,pure_climate,0.08123068963003355
temporal_spd,Asia,5500,pure_space,0.03176334443221074
temporal_spd,Asia,5500,shared,0.013806273731331142
temporal_spd,Asia,5500,total_explained,0.12391215528335164
temporal_spd,Asia,5500,unexplained,0.8760878447166484
temporal_spd,Asia,6000,pure_human,0.01027111180477569
temporal_spd,Asia,6000,pure_climate,0.06828020523718448
temporal_spd,Asia,6000,pure_space,0
temporal_spd,Asia,6000,shared,0.028455425918755606
temporal_spd,Asia,6000,total_explained,0.10700674296071577
temporal_spd,Asia,6000,unexplained,0.8929932570392842
temporal_spd,Asia,6500,pure_human,-0.002393239124602986
temporal_spd,Asia,6500,pure_climate,0.09053024332947812
temporal_spd,Asia,6500,pure_space,0
temporal_spd,Asia,6500,shared,0.018073568223258785
temporal_spd,Asia,6500,total_explained,0.10621057242813392
temporal_spd,Asia,6500,unexplained,0.8937894275718661
temporal_spd,Asia,7000,pure_human,0.003130478006058812
temporal_spd,Asia,7000,pure_climate,0.09991748729333039
temporal_spd,Asia,7000,pure_space,0
temporal_spd,Asia,7000,shared,0.018701752058367327
temporal_spd,Asia,7000,total_explained,0.12174971735775653
temporal_spd,Asia,7000,unexplained,0.8782502826422435
temporal_spd,Asia,7500,pure_human,0.006433218168668153
temporal_spd,Asia,7500,pure_climate,0.10765587406949517
temporal_spd,Asia,7500,pure_space,0
temporal_spd,Asia,7500,shared,0.03136765673934394
temporal_spd,Asia,7500,total_explained,0.14545674897750727
temporal_spd,Asia,7500,unexplained,0.8545432510224927
temporal_spd,Asia,8000,pure_human,0.0011380118977120102
temporal_spd,Asia,8000,pure_climate,0.1354047994122657
temporal_spd,Asia,8000,pure_space,0.019735699291171582
temporal_spd,Asia,8000,shared,0.02152202289658367
temporal_spd,Asia,8000,total_explained,0.17780053349773295
temporal_spd,Asia,8000,unexplained,0.822199466502267
temporal_spd,Asia,8500,pure_human,-5.229415731253795e-4
temporal_spd,Asia,8500,pure_climate,0.15787643979815325
temporal_spd,Asia,8500,pure_space,0.015566280262206522
temporal_spd,Asia,8500,shared,0.00444737431227582
temporal_spd,Asia,8500,total_explained,0.1773671527995102
temporal_spd,Asia,8500,unexplained,0.8226328472004898
temporal_spd,Oceania,6500,pure_human,-0.014284128788675687
temporal_spd,Oceania,6500,pure_climate,0.0847416137721142
temporal_spd,Oceania,6500,pure_space,0
temporal_spd,Oceania,6500,shared,0.003720876068200374
temporal_spd,Oceania,6500,total_explained,0.07417836105163889
temporal_spd,Oceania,6500,unexplained,0.9258216389483611
temporal_spd,Oceania,8000,pure_human,-0.0014825173685475423
temporal_spd,Oceania,8000,pure_climate,0.05701414757543877
temporal_spd,Oceania,8000,pure_space,0
temporal_spd,Oceania,8000,shared,0.004472624516250301
temporal_spd,Oceania,8000,total_explained,0.060004254723141526
temporal_spd,Oceania,8000,unexplained,0.9399957452768585
temporal_spd,Oceania,8500,pure_human,-0.008040047758109958
temporal_spd,Oceania,8500,pure_climate,0.039318414751736586
temporal_spd,Oceania,8500,pure_space,0.0380706989552162
temporal_spd,Oceania,8500,shared,0.03746612946278116
temporal_spd,Oceania,8500,total_explained,0.10681519541162399
temporal_spd,Oceania,8500,unexplained,0.893184804588376
temporal_events,Europe,500,pure_human,0.0030757841395595564
temporal_events,Europe,500,pure_climate,0.05997702297481067
temporal_events,Europe,500,pure_space,0.10543479323496696
temporal_events,Europe,500,shared,0.01841361337374181
temporal_events,Europe,500,total_explained,0.186901213723079
temporal_events,Europe,500,unexplained,0.813098786276921
temporal_events,Europe,1000,pure_human,0.007809355191556566
temporal_events,Europe,1000,pure_climate,0.05233177639564068
temporal_events,Europe,1000,pure_space,0.09428839377158549
temporal_events,Europe,1000,shared,0.06375381362914123
temporal_events,Europe,1000,total_explained,0.21818333898792397
temporal_events,Europe,1000,unexplained,0.781816661012076
temporal_events,Europe,1500,pure_human,0.011935471838120715
temporal_events,Europe,1500,pure_climate,0.03962229946293927
temporal_events,Europe,1500,pure_space,0.09816346513901586
temporal_events,Europe,1500,shared,0.0638326452333301
temporal_events,Europe,1500,total_explained,0.21355388167340594
temporal_events,Europe,1500,unexplained,0.7864461183265941
temporal_events,Europe,2000,pure_human,0.010631173915982672
temporal_events,Europe,2000,pure_climate,0.052299287163906194
temporal_events,Europe,2000,pure_space,0.07719353011537111
temporal_events,Europe,2000,shared,0.04790119379866975
temporal_events,Europe,2000,total_explained,0.18802518499392973
temporal_events,Europe,2000,unexplained,0.8119748150060703
temporal_events,Europe,2500,pure_human,0.0027856069744923717
temporal_events,Europe,2500,pure_climate,0.056934445620956065
temporal_events,Europe,2500,pure_space,0.08717365658856813
temporal_events,Europe,2500,shared,0.025247229841320884
temporal_events,Europe,2500,total_explained,0.17214093902533745
temporal_events,Europe,2500,unexplained,0.8278590609746626
temporal_events,Europe,3000,pure_human,0.00572405711714441
temporal_events,Europe,3000,pure_climate,0.04749082267037574
temporal_events,Europe,3000,pure_space,0.07813736372487001
temporal_events,Europe,3000,shared,0.016828585366842952
temporal_events,Europe,3000,total_explained,0.14818082887923312
temporal_events,Europe,3000,unexplained,0.8518191711207669
temporal_events,Europe,3500,pure_human,0.012190054582897347
temporal_events,Europe,3500,pure_climate,0.07111693272433517
temporal_events,Europe,3500,pure_space,0.1122322584825578
temporal_events,Europe,3500,shared,-0.007265970839376523
temporal_events,Europe,3500,total_explained,0.1882732749504138
temporal_events,Europe,3500,unexplained,0.8117267250495862
temporal_events,Europe,4000,pure_human,0.0045881396035629685
temporal_events,Europe,4000,pure_climate,0.08184254791943113
temporal_events,Europe,4000,pure_space,0.09670680990847347
temporal_events,Europe,4000,shared,-2.653042992775134e-4
temporal_events,Europe,4000,total_explained,0.18287219313219005
temporal_events,Europe,4000,unexplained,0.81712780686781
temporal_events,Europe,4500,pure_human,0.003152844387476317
temporal_events,Europe,4500,pure_climate,0.05024093980948652
temporal_events,Europe,4500,pure_space,0.10657348709377634
temporal_events,Europe,4500,shared,0.03541556484341035
temporal_events,Europe,4500,total_explained,0.19538283613414953
temporal_events,Europe,4500,unexplained,0.8046171638658505
temporal_events,Europe,5000,pure_human,0.007584434691990882
temporal_events,Europe,5000,pure_climate,0.05151320754119626
temporal_events,Europe,5000,pure_space,0.09104981804762546
temporal_events,Europe,5000,shared,0.01740669359053526
temporal_events,Europe,5000,total_explained,0.16755415387134787
temporal_events,Europe,5000,unexplained,0.8324458461286521
temporal_events,Europe,5500,pure_human,0.007922263614900338
temporal_events,Europe,5500,pure_climate,0.07934559578206823
temporal_events,Europe,5500,pure_space,0.10315723428809698
